"","ros_entity_number","FSCSKEY","FSCS_SEQ","ros_entity_name","ros_entity_type","is_school_library_independent","ros_subtype","ros_status","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode","ros_physical_zipcode_ext","ros_physical_county","ros_latitude","ros_longitude","ros_congressional_district","ros_urban_rural_status","ros_number_of_full_time_students","ros_total_number_of_part_time_students","ros_peak_number_of_part_time_students","ros_number_of_nslp_students","billed_entity_number","organization_name","organization_entity_type_name","org_address1","org_city","org_state","org_zipcode","org_congressional_district","funding_year","application_number","funding_request_number","form_471_line_item_number","is_certified_in_window","form_471_status_name","form_471_frn_status_name","pending_reason","spin_name","spin_number","chosen_category_of_service","form_471_service_type_name","form_471_function_name","form_471_product_name","upload_speed","form_471_upload_speed_unit_name","download_speed","form_471_download_speed_unit_name","total_monthly_cost","monthly_recur_ineligible_cost","monthly_recurring_unit_eligible_costs","monthly_quantity","total_monthly_eligible_recurring_costs","months_of_service","total_eligible_recurring_costs","total_one_time_cost","one_time_ineligible_cost","one_time_eligible_costs","one_time_quantity","total_eligible_one_time_costs","pre_discount_extended_eligible_line_item_costs","dis_pct","post_discount_extended_eligible_line_item_costs","post_discount_applicant_share","ros_square_footage","qty_allocation","tribal_type","form_471_frn_fiber_type_name","form_471_frn_fiber_sub_type_name","ros_physical_address_2","original_allocation","count_ros","cat1_discount_by_ros_estimated","cat2_discount_by_ros","MOST_RECENT_PLS","form_471_purpose_name","form_version","connection_directly_school","connection_supports_service","download_speed_mbps","upload_speed_mbps","speed_tier","gigabit_binary","POPU_LSA","speed_benchmark","pop_category"
"663",17001884,"OH0030",2,"bradford public library - main","library","No","main branch, public library","Active","138 East Main Street","Bradford","OH",45308,NA,"Miami",40.132211,-84.429507,"Congressional District 8","Rural",NA,NA,NA,NA,17000247,"Ohio Public Library Information Network","consortium","2323 W. Fifth Ave, Ste 130","Columbus","OH",43204,"Congressional District 15",2022,221020436,2299026869,2299026869.001,"In-Window","Committed","Funded","FCDL Issued","State of Ohio Department of Administrative Services",143003831,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",20,"Gbps",20,"Gbps",63624.93,14886.29,48738.64,1,48738.64,12,584863.68,0,0,0,0,0,584863.68,0.7,409404.576,175459.1,6300,0.005,NA,NA,NA,NA,NA,174,2352.89986206897,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",20000,20000,"gigabit","gigabit",3260,"benchmark met","under50"
"664",17001885,"OH0031",2,"bristol public library - main","library","No","main branch, public library","Active","1855 State Route 88","Bristolville","OH",44402,NA,"Trumbull",41.3870499,-80.8674848,"Congressional District 14","Rural",NA,NA,NA,NA,17000247,"Ohio Public Library Information Network","consortium","2323 W. Fifth Ave, Ste 130","Columbus","OH",43204,"Congressional District 15",2022,221020436,2299026869,2299026869.001,"In-Window","Committed","Funded","FCDL Issued","State of Ohio Department of Administrative Services",143003831,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",20,"Gbps",20,"Gbps",63624.93,14886.29,48738.64,1,48738.64,12,584863.68,0,0,0,0,0,584863.68,0.7,409404.576,175459.1,8868,0.005,NA,NA,NA,NA,NA,174,2352.89986206897,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",20000,20000,"gigabit","gigabit",2910,"benchmark met","under50"
"665",17001887,"OH0175",2,"grand valley public library - main","library","No","main branch, public library","Active","1 North School Street","Orwell","OH",44076,NA,"Ashtabula",41.5353967,-80.8665682,"Congressional District 14","Rural",NA,NA,NA,NA,17000247,"Ohio Public Library Information Network","consortium","2323 W. Fifth Ave, Ste 130","Columbus","OH",43204,"Congressional District 15",2022,221020436,2299026869,2299026869.001,"In-Window","Committed","Funded","FCDL Issued","State of Ohio Department of Administrative Services",143003831,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",20,"Gbps",20,"Gbps",63624.93,14886.29,48738.64,1,48738.64,12,584863.68,0,0,0,0,0,584863.68,0.7,409404.576,175459.1,3225,0.005,NA,NA,NA,NA,NA,174,2352.89986206897,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",20000,20000,"gigabit","gigabit",9525,"benchmark met","under50"
"666",17001888,"OH0104",2,"hubbard public library-main","library","No","main branch, public library","Active","436 W Liberty St","Hubbard","OH",44425,1742,"Trumbull",41.1567155,-80.5773967,"Congressional District 13","Urban",NA,NA,NA,NA,17000247,"Ohio Public Library Information Network","consortium","2323 W. Fifth Ave, Ste 130","Columbus","OH",43204,"Congressional District 15",2022,221020436,2299026869,2299026869.001,"In-Window","Committed","Funded","FCDL Issued","State of Ohio Department of Administrative Services",143003831,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",20,"Gbps",20,"Gbps",63624.93,14886.29,48738.64,1,48738.64,12,584863.68,0,0,0,0,0,584863.68,0.7,409404.576,175459.1,19058,0.005,NA,NA,NA,NA,NA,174,2352.89986206897,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",20000,20000,"gigabit","gigabit",13552,"benchmark met","under50"
"667",17001889,"OH0103",2,"homer public library-main","library","No","main branch, public library","Active","385 South Street Nw","Homer","OH",43027,NA,"Licking",40.2519046,-82.521029,"Congressional District 12","Rural",NA,NA,NA,NA,17000247,"Ohio Public Library Information Network","consortium","2323 W. Fifth Ave, Ste 130","Columbus","OH",43204,"Congressional District 15",2022,221020436,2299026869,2299026869.001,"In-Window","Committed","Funded","FCDL Issued","State of Ohio Department of Administrative Services",143003831,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",20,"Gbps",20,"Gbps",63624.93,14886.29,48738.64,1,48738.64,12,584863.68,0,0,0,0,0,584863.68,0.7,409404.576,175459.1,7800,0.005,NA,NA,NA,NA,NA,174,2352.89986206897,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",20000,20000,"gigabit","gigabit",1223,"benchmark met","under50"
"668",17001891,"OH0117",2,"lebanon public library-main","library","No","main branch, public library","Active","101 South Broadway Street","Lebanon","OH",45036,NA,"Warren",39.4331724,-84.208959,"Congressional District 1","Urban",NA,NA,NA,NA,17000247,"Ohio Public Library Information Network","consortium","2323 W. Fifth Ave, Ste 130","Columbus","OH",43204,"Congressional District 15",2022,221020436,2299026869,2299026869.001,"In-Window","Committed","Funded","FCDL Issued","State of Ohio Department of Administrative Services",143003831,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",20,"Gbps",20,"Gbps",63624.93,14886.29,48738.64,1,48738.64,12,584863.68,0,0,0,0,0,584863.68,0.7,409404.576,175459.1,19047,0.005,NA,NA,NA,NA,NA,174,2352.89986206897,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",20000,20000,"gigabit","gigabit",39872,"benchmark met","under50"
"669",17001892,"OH0113",2,"kinsman free public library-main","library","No","main branch, public library","Active","6420 Church Street","Kinsman","OH",44428,NA,"Trumbull",41.448022,-80.588121,"Congressional District 14","Rural",NA,NA,NA,NA,17000247,"Ohio Public Library Information Network","consortium","2323 W. Fifth Ave, Ste 130","Columbus","OH",43204,"Congressional District 15",2022,221020436,2299026869,2299026869.001,"In-Window","Committed","Funded","FCDL Issued","State of Ohio Department of Administrative Services",143003831,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",20,"Gbps",20,"Gbps",63624.93,14886.29,48738.64,1,48738.64,12,584863.68,0,0,0,0,0,584863.68,0.7,409404.576,175459.1,10926,0.005,NA,NA,NA,"P O Box 166",NA,174,2352.89986206897,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",20000,20000,"gigabit","gigabit",6496,"benchmark met","under50"
"670",17001894,"OH0148",2,"monroeville public library-main","library","No","main branch, public library","Active","34 Monroe Street","Monroeville","OH",44847,NA,"Huron",41.2433229,-82.695835,"Congressional District 4","Rural",NA,NA,NA,NA,17000247,"Ohio Public Library Information Network","consortium","2323 W. Fifth Ave, Ste 130","Columbus","OH",43204,"Congressional District 15",2022,221020436,2299026869,2299026869.001,"In-Window","Committed","Funded","FCDL Issued","State of Ohio Department of Administrative Services",143003831,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",20,"Gbps",20,"Gbps",63624.93,14886.29,48738.64,1,48738.64,12,584863.68,0,0,0,0,0,584863.68,0.7,409404.576,175459.1,4070,0.005,NA,NA,NA,NA,NA,174,2352.89986206897,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",20000,20000,"gigabit","gigabit",4116,"benchmark met","under50"
"671",17001916,"OH0184",2,"pickerington public library-main","library","No","main branch, public library","Active","201 Opportunity Way","Pickerington","OH",43147,NA,"Fairfield",39.8749326,-82.7585681,"Congressional District 15","Rural",NA,NA,NA,NA,17000247,"Ohio Public Library Information Network","consortium","2323 W. Fifth Ave, Ste 130","Columbus","OH",43204,"Congressional District 15",2022,221020436,2299026869,2299026869.001,"In-Window","Committed","Funded","FCDL Issued","State of Ohio Department of Administrative Services",143003831,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",20,"Gbps",20,"Gbps",63624.93,14886.29,48738.64,1,48738.64,12,584863.68,0,0,0,0,0,584863.68,0.7,409404.576,175459.1,21340,0.005,NA,NA,NA,NA,NA,174,2352.89986206897,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",20000,20000,"gigabit","gigabit",47944,"benchmark met","under50"
"672",17001959,"OH0226",2,"warren-trumbull county public library-main library","library","No","main branch, public library","Active","444 Mahoning Avenue Nw","Warren","OH",44483,4606,"Trumbull",41.240385,-80.822657,"Congressional District 13","Urban",NA,NA,NA,NA,17000247,"Ohio Public Library Information Network","consortium","2323 W. Fifth Ave, Ste 130","Columbus","OH",43204,"Congressional District 15",2022,221020436,2299026869,2299026869.001,"In-Window","Committed","Funded","FCDL Issued","State of Ohio Department of Administrative Services",143003831,"Category1","Data Transmission and/or Internet Access","Fiber","Ethernet",20,"Gbps",20,"Gbps",63624.93,14886.29,48738.64,1,48738.64,12,584863.68,0,0,0,0,0,584863.68,0.7,409404.576,175459.1,72941,0.005,NA,NA,NA,NA,NA,174,2352.89986206897,NA,2020,"Internet access service with no circuit (data circuit to ISP state/regional network is billed separately)","Current","Yes","No",20000,20000,"gigabit","gigabit",148414,"benchmark met","over50"
