"","ros_physical_state","funding_year","Category1","Category2"
"190","MT",2017,0.191,0.009
"191","MT",2018,0.113,NA
"192","MT",2019,0.113,0.009
"193","MT",2020,0.13,NA
"194","MT",2021,0.096,0.009
"195","MT",2022,0.104,0.009
"196","NC",2016,0.625,0.168
"197","NC",2017,0.597,0.128
"198","NC",2018,0.594,0.179
"199","NC",2019,0.556,0.145
"200","NC",2020,0.571,0.179
"201","NC",2021,0.574,0.235
"202","NC",2022,0.543,0.163
"203","ND",2016,0.239,0.011
"204","ND",2017,0.364,0.011
"205","ND",2018,0.341,NA
"206","ND",2019,0.341,NA
"207","ND",2020,0.318,NA
"208","ND",2021,0.33,NA
"209","ND",2022,0.318,NA
"210","NE",2016,0.37,0.053
"211","NE",2017,0.313,0.015
"212","NE",2018,0.283,0.049
"213","NE",2019,0.287,0.023
"214","NE",2020,0.253,0.03
"215","NE",2021,0.302,0.011
"216","NE",2022,0.283,0.015
"217","NH",2016,0.009,0.004
"218","NH",2018,0.004,NA
"219","NJ",2016,0.409,0.139
"220","NJ",2017,0.414,0.1
"221","NJ",2018,0.4,0.084
"222","NJ",2019,0.393,0.075
"223","NJ",2020,0.384,0.13
"224","NJ",2021,0.377,0.161
"225","NJ",2022,0.373,0.17
"226","NM",2016,0.206,0.032
"227","NM",2017,0.198,0.151
"228","NM",2018,0.23,0.048
"229","NM",2019,0.405,0.254
"230","NM",2020,0.508,0.278
"231","NM",2021,0.532,0.127
"232","NM",2022,0.516,0.103
"233","NV",2016,0.349,NA
"234","NV",2017,0.349,NA
"235","NV",2018,0.361,NA
"236","NV",2019,0.446,0.217
"237","NV",2020,0.542,0.072
"238","NV",2021,0.59,0.036
"239","NV",2022,0.614,0.301
"240","NY",2016,0.706,0.325
"241","NY",2017,0.7,0.024
"242","NY",2018,0.671,0.167
"243","NY",2019,0.707,0.254
"244","NY",2020,0.729,0.181
"245","NY",2021,0.733,0.355
"246","NY",2022,0.686,0.342
"247","OH",2016,0.902,0.202
"248","OH",2017,0.899,0.204
"249","OH",2018,0.866,0.222
"250","OH",2019,0.866,0.198
"251","OH",2020,0.869,0.235
"252","OH",2021,0.872,0.291
"253","OH",2022,0.854,0.193
"254","OK",2016,0.898,0.349
"255","OK",2017,0.926,0.158
"256","OK",2018,0.916,0.153
"257","OK",2019,0.916,0.233
"258","OK",2020,0.912,0.279
"259","OK",2021,0.926,0.195
"260","OK",2022,0.921,0.358
"261","OR",2016,0.279,0.1
"262","OR",2017,0.26,0.078
"263","OR",2018,0.256,0.114
"264","OR",2019,0.269,0.114
"265","OR",2020,0.279,0.073
"266","OR",2021,0.279,0.128
"267","OR",2022,0.279,0.119
"268","PA",2016,0.773,0.287
"269","PA",2017,0.748,0.094
"270","PA",2018,0.701,0.175
"271","PA",2019,0.713,0.26
"272","PA",2020,0.74,0.213
"273","PA",2021,0.761,0.141
"274","PA",2022,0.739,0.271
"275","RI",2016,1,0.155
"276","RI",2017,1,NA
"277","RI",2018,1,0.014
"278","RI",2019,1,0.014
"279","RI",2020,1,NA
"280","RI",2021,1,NA
"281","RI",2022,1,0.127
"282","SC",2016,0.843,0.123
"283","SC",2017,0.848,0.176
"284","SC",2018,0.868,0.152
"285","SC",2019,0.887,0.52
"286","SC",2020,0.907,0.446
"287","SC",2021,0.902,0.431
"288","SC",2022,0.902,0.26
"289","SD",2016,0.191,0.103
"290","SD",2017,0.081,0.007
"291","SD",2018,0.088,0.015
"292","SD",2019,0.132,0.007
"293","SD",2020,0.132,0.096
"294","SD",2021,0.154,NA
"295","SD",2022,0.118,NA
"296","TN",2016,0.69,0.014
"297","TN",2017,0.694,0.021
"298","TN",2018,0.623,0.039
"299","TN",2019,0.606,0.018
"300","TN",2020,0.599,0.028
"301","TN",2021,0.599,0.032
"302","TN",2022,0.599,0.028
"303","TX",2016,0.285,0.038
"304","TX",2017,0.286,0.085
"305","TX",2018,0.314,0.038
"306","TX",2019,0.376,0.094
"307","TX",2020,0.381,0.056
"308","TX",2021,0.397,0.09
"309","TX",2022,0.409,0.056
"310","UT",2016,0.6,0.04
"311","UT",2017,0.664,0.016
"312","UT",2018,0.672,0.064
"313","UT",2019,0.656,NA
"314","UT",2020,0.672,0.104
"315","UT",2021,0.664,0.008
"316","UT",2022,0.672,0.064
"317","VA",2016,0.719,0.049
"318","VA",2017,0.717,0.15
"319","VA",2018,0.725,0.134
"320","VA",2019,0.736,0.169
"321","VA",2020,0.749,0.104
"322","VA",2021,0.749,0.166
"323","VA",2022,0.738,0.24
"324","VI",2016,1.2,NA
"325","VI",2018,1.2,NA
"326","VI",2019,1.2,NA
"327","VI",2020,1.2,NA
"328","VI",2021,1.2,NA
"329","VI",2022,1,NA
"330","VT",2016,0.231,NA
"331","VT",2017,0.247,NA
"332","VT",2018,0.204,NA
"333","VT",2019,0.231,NA
"334","VT",2020,0.231,NA
"335","VT",2021,0.226,NA
"336","VT",2022,0.215,NA
"337","WA",2016,0.835,0.165
"338","WA",2017,0.747,0.253
"339","WA",2018,0.736,0.418
"340","WA",2019,0.71,0.412
"341","WA",2020,0.716,0.273
"342","WA",2021,0.747,0.449
"343","WA",2022,0.776,0.472
"344","WI",2016,0.694,0.066
"345","WI",2017,0.758,0.081
"346","WI",2018,0.716,0.052
"347","WI",2019,0.701,0.092
"348","WI",2020,0.721,0.028
"349","WI",2021,0.727,0.035
"350","WI",2022,0.764,0.041
"351","WV",2016,0.964,0.065
"352","WV",2017,0.953,0.047
"353","WV",2018,0.941,0.047
"354","WV",2019,0.935,0.006
"355","WV",2020,0.935,0.071
"356","WV",2021,0.947,0.083
"357","WV",2022,0.941,0.089
"358","WY",2016,0.108,NA
"359","WY",2021,NA,0.027
