"","FSCSKEY","FSCS_SEQ","LIBID","LIBNAME","ADDRESS","CITY","STABR","ZIP","C_ADMIN","C_OUT_TY","LATITUDE","LONGITUD","PLS_YEAR","n","ros_entity_number"
"5567","VA0005",7,"VA0005-007","SHIRLINGTON LIBRARY","4200 CAMPBELL AVE","ARLINGTON","VA",22206,NA,"BR",38.84107044,-77.08985582,2020,1,NA
"5568","VA0005",8,"VA0005-008","WESTOVER LIBRARY","1644 NORTH MCKINLEY RD STE 3","ARLINGTON","VA",22205,NA,"BR",38.88647353,-77.14149387,2020,1,NA
"5569","VA0005",9,"VA0005-009","PLAZA BRANCH LIBRARY","2100 CLARENDON BLVD","ARLINGTON","VA",22201,NA,"BR",38.89060719,-77.08601892,2020,1,NA
"5570","VA0005",10,"VA0005-010","DETENTION CENTER LIBRARY","1425 N. COURTHOUSE ROAD, 2ND FL","ARLINGTON","VA",22201,NA,"BR",38.88987353,-77.08371222,2020,1,NA
"5571","VA0008",NA,"VA0008","BLUE RIDGE REGIONAL LIBRARY","310 E. CHURCH STREET","MARTINSVILLE","VA",24115,"MO",NA,36.68908373,-79.86615933,2020,1,NA
"5572","VA0013",6,"VA0013-006","CAROLINE BOOKMOBILE","17202 RICHMOND TURNPIKE","BOWLING GREEN","VA",22427,NA,"BS",38.02438,-77.3409,2019,1,NA
"5573","VA0014",12,"VA0014-012","BELMONT SATELLITE LOCATION","7124 BELMONT ROAD","MINERAL","VA",23117,NA,"BR",38.1545173,-77.86614897,2020,1,NA
"5574","VA0014",13,"VA0014-013","PARTLOW SATELLITE LOCATION","3229 PARTLOW ROAD","PARTLOW","VA",22554,NA,"BR",38.04965483,-77.66156071,2020,1,NA
"5575","VA0016",4,"VA0016-004","WYLLIESBURG COMMUNITY LIBRARY","768 BARNESVILLE HWY","WYLLIESBURG","VA",23976,NA,"BR",36.85647578,-78.59058747,2020,1,NA
"5576","VA0017",7,"VA0017-007","OUTREACH SERVICES","298 CEDAR ROAD","CHESAPEAKE","VA",23322,NA,"BS",36.71432734,-76.2471214,2020,1,NA
"5577","VA0019",2,"VA0019-002","CLIFTON FORGE PUBLIC LIBRARY","535 CHURCH STREET","CLIFTON FORGE","VA",24422,NA,"CE",37.8169038,-79.82387782,2020,1,NA
"5578","VA0020",2,"VA0020-002","COLONIAL HEIGHTS PUBLIC LIBRARY","1000 YACHT BASIN DRIVE","COLONIAL HEIGHTS","VA",23834,NA,"CE",37.2644474,-77.39188773,2020,1,NA
"5579","VA0022",2,"VA0022-002","CUMBERLAND COUNTY PUBLIC LIBRARY","1539 ANDERSON HIGHWAY","CUMBERLAND","VA",23040,NA,"CE",37.4935472,-78.24803476,2020,1,NA
"5580","VA0026",4,"VA0026-004","CENTREVILLE REGIONAL LIBRARY","14200 ST. GERMAINE DR.","CENTREVILLE","VA",20121,NA,"BR",38.83707324,-77.44088498,2020,1,NA
"5581","VA0026",5,"VA0026-005","DOLLEY MADISON COMMUNITY LIBRARY","1244 OAK RIDGE AVE.","MCLEAN","VA",22101,NA,"BR",38.94017458,-77.18434744,2020,1,NA
"5582","VA0026",6,"VA0026-006","FAIRFAX CITY REGIONAL LIBRARY","3915 CHAIN BRIDGE RD.","FAIRFAX","VA",22030,NA,"BR",38.84817817,-77.30629198,2020,1,NA
"5583","VA0026",8,"VA0026-008","GEORGE MASON REGIONAL LIBRARY","7001 LITTLE RIVER TURNPIKE","ANNANDALE","VA",22030,NA,"BR",38.82843179,-77.18600673,2020,1,NA
"5584","VA0026",9,"VA0026-009","GREAT FALLS COMMUNITY LIBRARY","9830 GEORGETOWN PIKE","GREAT FALLS","VA",22066,NA,"BR",38.99776869,-77.28717261,2020,1,NA
"5585","VA0026",10,"VA0026-010","HERNDON FORTNIGHTLY COMMUNITY LIBRARY","768 CENTER ST.","HERNDON","VA",20170,NA,"BR",38.9720181,-77.38710627,2020,1,NA
"5586","VA0026",12,"VA0026-012","JOHN MARSHALL COMMUNITY LIBRARY","6209 ROSE HILL DR.","ALEXANDRIA","VA",22310,NA,"BR",38.78251798,-77.11905636,2020,1,NA
"5587","VA0026",13,"VA0026-013","KINGS PARK COMMUNITY LIBRARY","9000 BURKE LAKE RD.","BURKE","VA",22015,NA,"BR",38.80706896,-77.25623676,2020,1,NA
"5588","VA0026",14,"VA0026-014","LORTON COMMUNITY LIBRARY","9520 RICHMOND HIGHWAY","LORTON","VA",22079,NA,"BR",38.69834335,-77.21345327,2020,1,NA
"5589","VA0026",15,"VA0026-015","MARTHA WASHINGTON COMMUNITY LIBRARY","6614 FORT HUNT RD.","ALEXANDRIA","VA",22307,NA,"BR",38.77309249,-77.06245244,2020,1,NA
"5590","VA0026",16,"VA0026-016","PATRICK HENRY COMMUNITY LIBRARY","101 MAPLE AVE., EAST","VIENNA","VA",22180,NA,"BR",38.90181116,-77.26485026,2020,1,NA
"5591","VA0026",17,"VA0026-017","POHICK REGIONAL LIBRARY","6450 SYDENSTRICKER RD.","BURKE","VA",22015,NA,"BR",38.77545782,-77.26766624,2020,1,NA
"5592","VA0026",18,"VA0026-018","RESTON REGIONAL LIBRARY","11925 BOWMAN TOWNE DR.","RESTON","VA",20190,NA,"BR",38.96216027,-77.35856916,2020,1,NA
"5593","VA0026",19,"VA0026-019","RICHARD BYRD COMMUNITY LIBRARY","7250 COMMERCE ST.","SPRINGFIELD","VA",22150,NA,"BR",38.77956684,-77.19168463,2020,1,NA
"5594","VA0026",20,"VA0026-020","SHERWOOD REGIONAL LIBRARY","2501 SHERWOOD HALL LN.","ALEXANDRIA","VA",22306,NA,"BR",38.74384598,-77.07505665,2020,1,NA
"5595","VA0026",21,"VA0026-021","THOMAS JEFFERSON COMMUNITY LIBRARY","7415 ARLINGTON BLVD.","FALLS CHURCH","VA",22042,NA,"BR",38.86581839,-77.20172874,2020,1,NA
"5596","VA0026",22,"VA0026-022","TYSONS-PIMMIT REGIONAL LIBRARY","7584 LEESBURG PIKE","FALLS CHURCH","VA",22043,NA,"BR",38.90633772,-77.20682586,2020,1,NA
"5597","VA0026",23,"VA0026-023","WOODROW WILSON COMMUNITY LIBRARY","6101 KNOLLWOOD DR.","FALLS CHURCH","VA",22041,NA,"BR",38.85168683,-77.1427349,2020,1,NA
"5598","VA0026",25,"VA0026-025","CHANTILLY REGIONAL LIBRARY","4000 STRINGFELLOW RD.","CHANTILLY","VA",20151,NA,"BR",38.88222068,-77.4072054,2020,1,NA
