"","ros_physical_state","LOCALE_TOP_LEVEL_DESCR","num_erate_libs","num_imls_erate_libs","num_imls_libs"
"175","OH","Rural",159,158,213
"176","OH","Suburban",205,202,249
"177","OH","Town",161,158,189
"178","OH",NA,32,2,NA
"179","OK","City",24,24,25
"180","OK","Rural",75,75,84
"181","OK","Suburban",28,28,29
"182","OK","Town",76,73,82
"183","OK",NA,4,1,NA
"184","OR","City",4,4,39
"185","OR","Rural",24,23,86
"186","OR","Suburban",10,10,33
"187","OR","Town",23,23,75
"188","PA","City",102,96,112
"189","PA","Rural",48,47,103
"190","PA","Suburban",254,253,309
"191","PA","Town",69,68,123
"192","PA",NA,24,2,NA
"193","PR",NA,548,29,NA
"194","RI","City",17,16,17
"195","RI","Rural",13,13,13
"196","RI","Suburban",41,41,43
"197","RI","Town",1,1,1
"198","RI",NA,2,0,NA
"199","SC","City",30,28,42
"200","SC","Rural",70,68,78
"201","SC","Suburban",56,55,61
"202","SC","Town",52,49,62
"203","SC",NA,7,0,NA
"204","SD","City",NA,NA,9
"205","SD","Rural",15,15,108
"206","SD","Suburban",NA,NA,2
"207","SD","Town",2,2,27
"208","SD",NA,1,0,NA
"209","TN","City",58,57,68
"210","TN","Rural",51,51,101
"211","TN","Suburban",19,19,40
"212","TN","Town",44,44,80
"213","TN",NA,9,1,NA
"214","TX","City",169,169,279
"215","TX","Rural",56,56,211
"216","TX","Suburban",62,60,165
"217","TX","Town",79,79,251
"218","TX",NA,17,1,NA
"219","UT","City",14,13,16
"220","UT","Rural",17,17,41
"221","UT","Suburban",35,35,48
"222","UT","Town",19,17,38
"223","UT",NA,6,0,NA
"224","VA","City",48,46,87
"225","VA","Rural",117,116,142
"226","VA","Suburban",75,71,110
"227","VA","Town",50,49,64
"228","VA",NA,13,1,NA
"229","VI","Town",6,5,9
"230","VT","City",NA,NA,2
"231","VT","Rural",26,26,154
"232","VT","Suburban",NA,NA,6
"233","VT","Town",14,14,28
"234","VT",NA,1,0,NA
"235","WA","City",52,49,95
"236","WA","Rural",84,84,107
"237","WA","Suburban",101,87,99
"238","WA","Town",60,60,75
"239","WA",NA,11,1,NA
"240","WI","City",33,33,46
"241","WI","Rural",171,171,230
"242","WI","Suburban",56,56,74
"243","WI","Town",87,87,119
"244","WI",NA,13,1,NA
"245","WV","City",14,11,16
"246","WV","Rural",79,79,84
"247","WV","Suburban",25,25,30
"248","WV","Town",45,45,49
"249","WV",NA,3,2,NA
"250","WY","City",NA,NA,4
"251","WY","Rural",NA,NA,52
"252","WY","Suburban",NA,NA,1
"253","WY","Town",NA,NA,21
