"FSCSKEY","FSCS_SEQ","PLS_YEAR"
"AK0047",3,2017
"AK0047",3,2018
"AK0047",3,2019
"AK0047",3,2020
"AK0047",4,2014
"AK0047",4,2015
"AK0047",4,2016
"AK0047",4,2017
"AK0047",4,2018
"AK0047",4,2019
"AK0047",4,2020
"AK0048",2,2014
"AK0048",2,2015
"AK0048",2,2016
"AK0048",2,2017
"AK0048",2,2018
"AK0048",2,2019
"AK0048",2,2020
"AK0051",2,2014
"AK0051",2,2015
"AK0051",2,2016
"AK0051",2,2017
"AK0051",2,2018
"AK0051",2,2019
"AK0051",2,2020
"AK0052",2,2014
"AK0052",2,2015
"AK0052",2,2016
"AK0052",2,2017
"AK0052",2,2018
"AK0052",2,2019
"AK0052",2,2020
"AK0053",2,2014
"AK0053",2,2015
"AK0053",2,2016
"AK0053",2,2017
"AK0055",2,2014
"AK0055",2,2015
"AK0055",2,2016
"AK0055",2,2017
"AK0055",2,2018
"AK0055",2,2019
"AK0055",2,2020
"AK0056",2,2014
"AK0056",2,2015
"AK0056",2,2016
"AK0056",2,2017
"AK0056",2,2018
"AK0056",2,2019
"AK0056",2,2020
"AK0057",2,2014
"AK0057",2,2015
"AK0057",2,2016
"AK0057",2,2017
"AK0057",2,2018
"AK0057",2,2019
"AK0057",2,2020
"AK0058",2,2014
"AK0058",2,2015
"AK0058",2,2016
"AK0058",2,2017
"AK0058",2,2018
"AK0058",2,2019
"AK0058",2,2020
"AK0061",2,2014
"AK0061",2,2015
"AK0061",2,2016
"AK0061",2,2017
"AK0061",2,2018
"AK0061",2,2019
"AK0061",2,2020
"AK0064",2,2014
"AK0064",2,2015
"AK0064",2,2016
"AK0064",2,2017
"AK0064",2,2018
"AK0064",2,2019
"AK0064",2,2020
"AK0065",2,2014
"AK0065",2,2015
"AK0065",2,2016
"AK0065",2,2017
"AK0065",2,2018
"AK0065",2,2019
"AK0065",2,2020
"AK0067",2,2014
"AK0067",2,2015
"AK0067",2,2016
"AK0067",2,2017
"AK0067",2,2018
"AK0067",2,2019
"AK0067",2,2020
"AK0068",2,2014
"AK0068",2,2015
"AK0068",2,2016
"AK0068",2,2017
"AK0068",2,2018
"AK0068",2,2019
"AK0068",2,2020
"AK0069",2,2014
"AK0069",2,2015
"AK0069",2,2016
"AK0069",2,2017
"AK0069",2,2018
"AK0069",2,2019
"AK0069",2,2020
"AK0070",2,2014
"AK0070",2,2015
"AK0070",2,2016
"AK0070",2,2017
"AK0070",2,2018
"AK0070",2,2019
"AK0070",2,2020
"AK0071",1,2019
"AK0071",1,2020
"AK0072",2,2014
"AK0072",2,2015
"AK0072",2,2016
"AK0072",2,2017
"AK0072",2,2018
"AK0072",2,2019
"AK0072",2,2020
"AK0073",2,2014
"AK0073",2,2015
"AK0073",2,2016
"AK0073",2,2017
"AK0073",2,2018
"AK0073",2,2019
"AK0073",2,2020
"AK0074",2,2014
"AK0074",2,2015
"AK0074",2,2016
"AK0074",2,2017
"AK0074",2,2018
"AK0074",2,2019
"AK0074",2,2020
"AK0075",2,2014
"AK0075",2,2015
"AK0075",2,2016
"AK0075",2,2017
"AK0075",2,2018
"AK0075",2,2019
"AK0075",2,2020
"AK0077",2,2014
"AK0077",2,2015
"AK0077",2,2016
"AK0077",2,2017
"AK0077",2,2018
"AK0077",2,2019
"AK0077",2,2020
"AK0078",2,2014
"AK0078",2,2015
"AK0078",2,2016
"AK0078",2,2017
"AK0078",2,2018
"AK0078",2,2019
"AK0078",2,2020
"AK0080",2,2014
"AK0080",2,2015
"AK0080",2,2016
"AK0080",2,2017
"AK0080",2,2018
"AK0080",2,2019
"AK0080",2,2020
"AK0081",2,2014
"AK0081",2,2015
"AK0081",2,2016
"AK0081",2,2017
"AK0081",2,2018
"AK0081",2,2019
"AK0081",2,2020
"AK0082",2,2014
"AK0082",2,2015
"AK0082",2,2016
"AK0082",2,2017
"AK0082",2,2018
"AK0082",2,2019
"AK0082",2,2020
"AK0085",4,2014
"AK0085",4,2015
"AK0085",4,2016
"AK0085",4,2017
"AK0085",4,2018
"AK0085",4,2019
"AK0085",4,2020
"AK0087",2,2014
"AK0087",2,2015
"AK0087",2,2016
"AK0087",2,2017
"AK0091",2,2014
"AK0091",2,2015
"AK0091",2,2016
"AK0091",2,2017
"AK0094",3,2014
"AK0094",3,2015
"AK0094",3,2016
"AK0094",3,2017
"AK0094",3,2018
"AK0094",3,2019
"AK0094",3,2020
"AK0094",4,2014
"AK0094",4,2015
"AK0094",4,2016
"AK0094",4,2017
"AK0094",4,2018
"AK0094",4,2019
"AK0094",4,2020
"AK0094",5,2014
"AK0094",5,2015
"AK0094",5,2016
"AK0094",5,2017
"AK0094",5,2018
"AK0094",5,2019
"AK0094",5,2020
"AK0094",6,2014
"AK0094",6,2015
"AK0094",6,2016
"AK0094",6,2017
"AK0094",6,2018
"AK0094",6,2019
"AK0094",6,2020
"AK0094",7,2014
"AK0094",7,2015
"AK0094",7,2016
"AK0094",7,2017
"AK0094",7,2018
"AK0094",7,2019
"AK0094",7,2020
"AK0094",8,2014
"AK0094",8,2015
"AK0094",8,2016
"AK0094",8,2017
"AK0094",8,2018
"AK0094",8,2019
"AK0094",8,2020
"AK0094",9,2014
"AK0094",9,2015
"AK0094",9,2016
"AK0094",9,2017
"AK0094",9,2018
"AK0094",9,2019
"AK0094",9,2020
"AK0094",10,2014
"AK0094",10,2015
"AK0094",10,2016
"AK0094",10,2017
"AK0094",10,2018
"AK0094",10,2019
"AK0094",10,2020
"AK0095",2,2014
"AK0095",2,2015
"AK0095",2,2016
"AK0095",2,2017
"AK0095",2,2018
"AK0095",2,2019
"AK0095",2,2020
"AK0097",2,2014
"AK0097",2,2015
"AK0097",2,2016
"AK0097",2,2017
"AK0099",2,2014
"AK0099",2,2015
"AK0099",2,2016
"AK0099",2,2017
"AK0099",2,2018
"AK0099",2,2019
"AK0099",2,2020
"AK0100",1,2014
"AK0100",1,2015
"AK0100",1,2016
"AK0100",1,2017
"AK0100",1,2018
"AK0100",1,2019
"AK0100",1,2020
"AK0101",2,2014
"AK0101",2,2015
"AK0101",2,2016
"AK0101",2,2017
"AK0101",2,2018
"AK0101",2,2019
"AK0101",2,2020
