"","ros_entity_number","ros_entity_name","ros_entity_type","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode"
"1",105603,"silverado branch library","library","28192 SILVERADO CANYON RD","SILVERADO","CA",92676
"2",108057,"san mateo county san carlos branch library","library","655 CHESTNUT ST","SAN CARLOS","CA",94070
"3",108459,"san mateo county foster city branch library","library","600 FOSTER CITY BLVD","SAN MATEO","CA",94404
"4",112324,"dorris branch library","library","PO BOX 649","DORRIS","CA",96023
"5",11467,"queensbridge branch library","library","1043 41ST AVE","LONG IS CITY","NY",11101
"6",123186,"greenwich township  library","library","NEHAUNSEY SCH, CONSTITUTION DR","GIBBSTOWN","NJ",8027
"7",123596,"ny metro ref/rsrch lib agency","library","57 E 11TH ST FL 4","NEW YORK","NY",10003
"8",123641,"westchester library system","library","540 WHITE PLAINS ROAD, SUITE 200","TARRY TOWN","NY",10591
"9",123739,"ramapo catskill library system","library","619 ROUTE 17 M","MIDDLETOWN","NY",10940
"10",123834,"nassau library system","library","900 JERUSALEM AVE","UNIONDALE","NY",11553
"11",123980,"long island lib rsrcs council","library","627 N. SUNRISE SERVICE RD","BELLPORT","NY",11713
"12",124325,"southern adirondack library system","library","22 WHITNEY PL","SARATOGA SPGS","NY",12866
"13",124810,"nioga library system","library","6575 WHEELER RD","LOCKPORT","NY",14094
"14",124860,"western ny lib rsrcs council","library","4950 GENESEE ST STE AIRPORT","CHEEKTOWAGA","NY",14225
"15",124899,"rochester reg library council","library","390 PACKETTS LNDG","FAIRPORT","NY",14450
"16",125105,"south central regional library council","library","CLINTON HALL, 108 NORTH CAYUGA STREET","ITHACA","NY",14850
"17",125201,"west newton public library","library","124 N WATER ST","WEST NEWTON","PA",15089
"18",125379,"new alexandria public library","library","W MAIN ST","NEW ALEXANDRIA","PA",15670
"19",126021,"luzerne county library system","library","71 S FRANKLIN ST","WILKES BARRE","PA",18701
"20",126255,"berks county public lib system","library","1040 BERKS RD","LEESPORT","PA",19533
"21",126509,"library of virginia","library","800 E BROAD ST","RICHMOND","VA",23219
"22",127151,"south carolina state library","library","1500 SENATE ST","COLUMBIA","SC",29201
"23",128037,"library management network inc","library","2132 SIXTH AVENUE SE SUITE 106","DECATUR","AL",35601
"24",128214,"red river regional library","library","1753 ALPINE DR STE A","CLARKSVILLE","TN",37040
"25",128244,"stones river regional library","library","2118 E. MAIN STREET","MURFREESBORO","TN",37130
"26",128261,"tennessee state library and archives","library","403 7TH AVE NORTH","NASHVILLE","TN",37243
"27",128264,"ocoee river regional library","library","718 GEORGE ST","ATHENS","TN",37303
"28",128317,"holston river regional library","library","2700 S ROAN ST STE 435","JOHNSON CITY","TN",37601
"29",128449,"obion river regional library","library","P.O. BOX 168","MARTIN","TN",38237
"30",128508,"falling water river regional library","library","208 MINNEAR ST","COOKEVILLE","TN",38501
"31",128647,"mississippi library commission","library","3881 EASTWOOD DRIVE","JACKSON","MS",39211
"32",131073,"mideastern michigan library cooperative","library","503 SOUTH SAGINAW STREET SUITE 711","FLINT","MI",48502
"33",131981,"iowa state library","library","1112 EAST GRAND AVENUE","DES MOINES","IA",50319
"34",133404,"northern waters library serv","library","3200 LAKE SHORE DR E","ASHLAND","WI",54806
"35",133460,"outagamie waupaca lib system","library","225 N ONEIDA ST","APPLETON","WI",54911
"36",133559,"metropolitan lib svc agency","library","1619 DAYTON AVENUE","SAINT PAUL","MN",55104
"37",137653,"north central kansas lib sys","library","629 POYNTZ AVE","MANHATTAN","KS",66502
"38",137724,"southeast kansas lib system","library","218 E MADISON ST","IOLA","KS",66749
"39",138151,"southwest kansas lib system","library","100 MILITARY AVE, SUITE 210","DODGE CITY","KS",67801
"40",139290,"state library of louisiana","library","PO BOX 131","BATON ROUGE","LA",70821
"41",140787,"stella hill memorial library","library","158  W SAN ANTONIO, PO BOX 98","ALTO","TX",75925
"42",141757,"central texas library system","library","5555 N. LAMAR, SUITE L 115","AUSTIN","TX",78751
"43",141922,"silverton library","library","415 MAIN ST","SILVERTON","TX",79257
"44",142895,"the arizona state research library","library","1700 W WASHINGTON ST RM 300","PHOENIX","AZ",85007
"45",143269,"new mexico state library","library","1209 CAMINO CARLOS REY","SANTA FE","NM",87507
"46",145674,"kake community library","library","PO BOX 450","KAKE","AK",99830
"47",147493,"northeast ks library system","library","4317 WEST 6TH STREET","LAWRENCE","KS",66049
"48",148177,"middletown library service center","library","786 S MAIN","MIDDLETOWN","CT",6457
"49",149894,"norwood public library","library","P.O. BOX 127","NORWOOD","CO",81423
"50",150877,"wilderness coast public libraries","library","P.O. BOX 551","MONTICELLO","FL",32345
"51",151750,"redwood library","library","50 BELLEVUE AVENUE","NEWPORT","RI",2840
"52",154391,"first city libraries consortium","non-instructional facility (nif)","334 FRONT STREET","KETCHIKAN","AK",99901
"53",155962,"washington talking book and braille library","library","2021-9TH AVENUE","SEATTLE","WA",98121
"54",156864,"tds library","library","1400 MADISON AVE STE 622","MANKATO","MN",56001
"55",157922,"civic center","library","812 56TH ST","KENOSHA","WI",53140
"56",16020572,"southeastern new york library resources council","library","21 S. ELTING CORNERS ROAD","HIGHLAND","NY",12528
"57",16021103,"biblioteca publica cayey de st thomas","library","P.O. BOX 371330","CAYEY","PR",737
"58",16021122,"biblioteca electronica de bayamon","library","BO. BAYAMON. CARR.787 KM 3. 6","CIDRA","PR",739
"59",16021247,"data center","library","7615 DISALLE ST","FORT WAYNE","IN",46825
"60",16023109,"outreach","non-instructional facility (nif)","1364 NE 3RD","OKLAHOMA CITY","OK",73117
"61",16023772,"cahuilla library","library","52701 SR-371","ANZA","CA",92539
"62",16023776,"soboba library","library","23904 SOBOBA RD.","SAN JACINTO","CA",92281
"63",16023902,"cooper community library","library","230 NORTH FIRST STREET","OAKWOOD","OH",45873
"64",16023907,"plum creek bookmobile","library","290 S LAKE ST","WORTHINGTON","MN",56187
"65",16024865,"warehouse","library","1011 TOM WATSON ROAD","LAKE CHARLES","LA",70615
"66",16028502,"biblioteca municipal mayaguez, el mani","library","CALLE ELENA SEGARRA 2014, BO. MANI","MAYAGUEZ","PR",681
"67",16028503,"biblioteca electronica de la quinta","library","CARR. 106 KILOMETER 1.6 LACE 215","MAYAGUEZ","PR",681
"68",16028506,"biblioteca electronica villa albizu candelaria","library","CARR 865 Km 5","TOA BAJA","PR",949
"69",16028627,"biblioteca electronica de dulces labios","library","CALLE SAN JUAN CON CALLE PACHIN MARIN","MAYAGUEZ","PR",680
"70",16028633,"biblioteca electronica de parcelas stella","library","CARR 115 KM 11.6 CALLE 8","RINCON","PR",677
"71",16028636,"biblioteca electronica de la juncia","library","CARR 156 INT 774","COMERIO","PR",782
"72",16028637,"biblioteca electronica de rio hondo","library","CARR 156 ENTRADA AL PUEBLO","COMERIO","PR",782
"73",16028644,"biblioteca electronica de san romualdo","library","CARR 309 CALLE P","HORMIGUEROS","PR",660
"74",16028733,"centro educacional de tecnologia de cerro gordo","library","BO. CERRO GORDO CARR. 150, INTERIOR 5520 KM 10.3","VILLALBA","PR",766
"75",16028734,"centro educacional de tecnologia de el semil","library","BO. EL SEMIL CARR. 514 KM. 6.0","VILLALBA","PR",766
"76",16028736,"centro educacional de tecnologia de hatillo","library","BO. HATILLO CARR. 150. KM 3.5","VILLALBA","PR",766
"77",16028743,"centro educacional de tecnologia de tierra santa","library","COMUNIDAD TIERRA SANTA PASEO ALBIZU CAMPO","VILLALBA","PR",766
"78",16028744,"centro educacional de tecnologia de apeaderos","library","BO. APEADEROS CARR. 562 KM 1.9","VILLALBA","PR",766
"79",16030043,"department of administration-is&c.","library","1900 KANAWHA BLVD, EAST","CHARLESTON","WV",25305
"80",16033964,"sun city center library","library","1011 N PEBBLE BEACH BLVD","SUN CITY CENTER","FL",33573
"81",16034174,"biblioteca satelital ceiba norte","library","CALLE 18 SOLAR 187 BOX CEIBA NORTE","JUNCOS","PR",777
"82",16034175,"biblioteca satelital el mango","library","CARR 31 KM 20.7 SECTOR EL MANGO BOX CAIMITO","JUNCOS","PR",777
"83",16035594,"centro criollo de info-tomas de castro","library","VIOLET STREET BO. TOMAS DE CASTRO PARCELA 1","CAGUAS","PR",726
"84",16036183,"support services building","library","38283 MCDONALD ST","DADE CITY","FL",33525
"85",16036464,"centro digital del barrio dajaos","library","CARR. 167 INTERSECCION #812 KM. 32","BAYAMON","PR",956
"86",16037922,"national wwii museum teacher resource library","library","945 MAGAZINE ST","NEW ORLEANS","LA",70130
"87",16039582,"centro digital diamantino","library","APARTADO # 8","CAROLINA","PR",986
"88",16040107,"biblioteca electronica residencial roig","library","AVENIDA PADRE RIVERA #12","HUMACAO","PR",792
"89",16040110,"biblioteca electronica de collores","library","RD. 924, KM. 14.5 BO COLLORES","HUMACAO","PR",792
"90",16040111,"biblioteca electronica de buena vista","library","RD. 921, KM 14.0, BUENA VISTA","HUMACAO","PR",792
"91",16040112,"bilioteca electronica de punta santiago","library","RD. #3, KM 195 PUNTA SANTIAGO","HUMACAO","PR",792
"92",16040113,"biblioteca electronica de mambiche","library","RD. 908, KM. 8.2 BO MAMBICHE","HUMACAO","PR",792
"93",16040116,"biblioteca electronica de catano","library","RD. #909 KM 1, BO CANTANO","HUMACAO","PR",792
"94",16040117,"biblioteca electronica de verde mar","library","RD. #3, KM. 180 URB. VERDE MAR","HUMACAO","PR",792
"95",16040118,"biblioteca electronica aniceto cruz","library","RD. #3, KM. 133 BO. CANDELERO ABAJO","HUMACAO","PR",792
"96",16040119,"bilioteca electronica parcelas martinez","library","RD. #3, KM 165 BO CANDELERO ARRIBA","HUMACAO","PR",792
"97",16040215,"internet archive","library","300 FUNSTON AVE","SAN FRANCISCO","CA",94118
"98",16040562,"biblioteca neris i. crespo","library","AVE. RAMEY CALLE SOL","AGUADILLA","PR",603
"99",16044211,"historical society of berks county library and museum","library","940 CENTRE AVE","READING","PA",19601
"100",16044650,"biblioteca rafaela prieto","library","AVE HOSTOS ENTRE ESCUELAS SANTIAGO GONZALES Y","PONCE","PR",733
"101",16044653,"bibloteca coto laurel","library","CALLE LOS SANTOS, BO COTO LAUREL","PONCE","PR",733
"102",16044654,"biblioteca rosario latorre","library","PO BOX 331709","PONCE","PR",733
"103",16044655,"united keetoowah band of cherokee indians in oklahoma","library","2450 S MUSKOGEE AVE","TAHLEQUAH","OK",74464
"104",16044657,"centro de educacion digital","library","CALLE MARINA 9215 FRENTE A LA PLAZA DEJETAU AL LAD","PONCE","PR",733
"105",16044658,"bibilioteca centro perlecia cerebral","library","CALLEJON TRUJILLO","PONCE","PR",733
"106",16044659,"biblioteca quebrada limon","library","BO QUEBRADA LILMON","PONCE","PR",733
"107",16045290,"centro criollo del saber - bo. beatriz","library","CARR #1, (DE CAGUAS A CAYEY) SECTOR LOS PANES","CAGUAS","PR",726
"108",16045314,"carnegie building","library","102 SOUTH STATE","WAGONER","OK",74467
"109",16045581,"centro tecnologico caguitas centro","library","BO CAGUITAS","AGUAS BUENAS","PR",703
"110",16045752,"red gigante2.net","library","APARTADO 8","CAROLINA","PR",989
"111",16047034,"electronic library at bethune recreation center","library","5809 EDINA STREET","WIMAUMA","FL",33598
"112",16047038,"electronic library at children's services center","library","3110 CLAY MANGUM LN","TAMPA","FL",33618
"113",16047183,"centro de servicios multiples el seco","library","BOULEVARD DEL CARMEN #55, BO. EL SECO","MAYAGUEZ","PR",680
"114",16047187,"centro de servicios multiples malezas","library","CARR. 348, KM 5.8","MAYAGUEZ","PR",682
"115",16047188,"centro de servicios multiples soledad","library","CARR 342 CALLE G PARCELAS SOLEDAD","MAYAGUEZ","PR",682
"116",16047189,"centro de servicios multiples rolon","library","CARR. # 105, KM. 7.0 INTERIOR , BO ROLON","MAYAGUEZ","PR",681
"117",16047309,"polly rosenbaum archives and history building","library","1901 W. MADISON STREET","PHOENIX","AZ",85009
"118",16047722,"louisiana resource center for educators  2","library","5550 FLORIDA BLVD","BATON ROUGE","LA",70806
"119",16049240,"biblioteca de la comunidad sabana abajo","library","CARR. 190 BARRIO SABANA ABAJO","CAROLINA","PR",986
"120",16049241,"biblioteca de la comunidad de buena vista","library","CELLE ROSALES, ESQUINA LIRIOS","CAROLINA","PR",986
"121",16049242,"biblioteca de la comunidad trujillo bajo","library","CARR. 853 INT. CARR. 858,","CAROLINA","PR",986
"122",16049643,"library services center","library","31-11 THOMSON AVENUE","NEW YORK","NY",11101
"123",16050090,"biblioteca municipal bo. la central","library","CALLE 12 ESQ CALLE 13, BO. LA CENTRAL","CANOVANAS","PR",729
"124",16050175,"biblioteca comunal municipal de brenas","library","CALLE 691, BO BRENAS, ANTIGUA ESC ELEM DE BRENAS","VEGA ALTA","PR",692
"125",16050195,"centro de tecnologia informatica aceituna","library","CARR. 547, SECTOR ACEITUNA, BO. VACAS","VILLALBA","PR",766
"126",16050197,"centro de tecnologia informatica higueros","library","P.O. BOX 1506, CARR. 150 KM 6.0, BO. HIGUERO","VILLALBA","PR",766
"127",16050198,"centro de tecnologia informatica el chichon","library","CARR. 149 KM 55.4 INTERIOR, BO ACEITUNA, SECTOR EL","VILLALBA","PR",766
"128",16050426,"centro criollo del saber car?aboncito","library","CARR#1 EST 156, ESQ CARR. #156,","CAGUAS","PR",726
"129",16050468,"centro de tecnologia e informacion pithaya","library","CARR. 983 KM. 1.1 BO PITAHAYA","LIQUILLO","PR",773
"130",16050469,"casa de la juventud","library","CALLE COMERCIO ESQUINQA NUEVA #2","RINCON","PR",677
"131",16050555,"centro tecnologica sector las corujas","library","CARR 73 INTERIOR 7172 KM 6.1 BO SUMIDER","AQUAS BUENAS","PR",703
"132",16050685,"centro digital las carmelitas","library","CARR 106 KM 11.8 REPARTO LAS CARMELITAS","MAYAGUEZ","PR",680
"133",16050686,"museo eugenio maria de hostos","library","CARR 106 INTERSECION 354","MAYAGUEZ","PR",680
"134",16050809,"biblioteca publica la haya","library","CARR 3101 SECTOR LA HAYA, BO. LAJAS","LAJAS","PR",667
"135",16050810,"biblioteca pura platy, parguera","library","CARR 304 FINAL, BO. PARGUERA","LAJAS","PR",667
"136",16050933,"biblioteca municipal gerardo gonzalez","library","P.O. BOX 588, CARR. 695, CALLE PRINCIPAL, BO.","DORADO","PR",646
"137",16050934,"biblioteca municipal belen rivera huertas","library","P.O. BOX 588, CALLE 9 ESQ BO. RIO LAJAS","DORADO","PR",646
"138",16050935,"biblioteca municipal eladio ""lalo"" rodriguez","library","P.O BOX 588, BO KUILAN AL LADO DE LA CANCHA DE","DORADO","PR",646
"139",16050941,"biblioteca electroinica bo. mariana","library","CARR 909, BO. MARIANA","HUMACAO","PR",791
"140",16050960,"biblioteca electronica bo. coco","library","CALLE PRINCIPAL #1","SALINAS","PR",751
"141",16050976,"biblioteca electronica rafael g. almalbert","library","CALLE ESCUTE FINAL DESVIO 9919 COMPLEJO DEPORTIVO","JUNCOS","PR",777
"142",16051483,"biblioteca electronica de santa clara","library","CARR 734 KM 1.4","CIDRA","PR",739
"143",16051503,"foro del saber polvorin","library","CALLE 22 ESQUINA CALLE D, BARRIADA POLVORIN","CAYEY","PR",736
"144",16051510,"escuela de bellas artes","library","CALLE MATIAS SOTO SECTOR SAN CRISTOBAL, BO. TOITA","CAYEY","PR",736
"145",16051514,"casa del cuento","library","CALLE NUNEZ ROMEU ESQUINA MANUEL CORCHADO","CAYEY","PR",736
"146",16051517,"biblioteca electronica comunidad toita","library","BARRIADA TOITA, CARR 14 KM 55","CAYEY","PR",736
"147",16051521,"biblioteca residencial luis munoz morales","library","AVE FERNANDEZ GARCIA, RES. LUIS MUNOZ MORALES","CAYEY","PR",736
"148",16051523,"centre communal jajome","library","CARR 708 BO.. JAJOME","CAYEY","PR",736
"149",16051524,"biblioteca electronica pedro ruiz","library","AVE. DR. SUSONI, CERCA DEL CUARTEL DE POLICIA","HATILLO","PR",659
"150",16051526,"biblioteca de aibonito","library","CALLE FRANKLIN D. ROOSEVELT","HATILLO","PR",659
"151",16051527,"biblioteca electronica- carrizales","library","P.O. BOX 8","HATILLO","PR",659
"152",16051529,"casa de la juventud","library","BO. CAMPO ALEGRE, CARR. 130, CERCA DE LA ESCUELA","HATILLO","PR",659
"153",16051530,"centro usos multiples manuel reyes baez","library","CARR, 779, KM 7.0","COMERIO","PR",782
"154",16051531,"biblioteca electronica de la prieta","library","CARR 781, KM 2.6","COMERIO","PR",782
"155",16051533,"centro comunal pinas","library","CARR, 775, KM 4.3","COMERIO","PR",782
"156",16051535,"centro usos multiples el verde","library","CARR, 782, INT. CARR 791, BO. NARANJO","COMERIO","PR",782
"157",16051540,"centro comunal residencial rio plata","library","CARR 156, KM 3.3, 18 CALLE A. DO. PALOMAS ABAJO","COMERIO","PR",782
"158",16051542,"centro comunal vega redonda","library","BO NARANJO SECTOR SABANA CARR 172 KM 1.6","COMERIO","PR",782
"159",16051704,"centro tecnologico unibon","library","BO. UNIBON, URB. BRISAS DEL RIO","MOROVIS","PR",687
"160",16051894,"biblioteca satelite - pugnado","library","CARR. 643 KM 2.4, BO. PUGNADO","MANATI","PR",674
"161",16051895,"biblioteca satelite - cortes","library","CARR. 667 KM 4.5, SECTOR CORTES BAJURA ADENTRO","MANATI","PR",674
"162",16051896,"biblioteca satelite - boquillas","library","CARR. 685 CALLE ESTRELLA DE MAR","MANATI","PR",674
"163",16051898,"biblioteca satelite - campo alegre","library","CARR. #2 KM 46.8, SECTOR CAMPO ALEGRE COTTO NORTE","MANATI","PR",674
"164",16052468,"centro de estudio y tecnologia de las monjas","library","CALLE SANTIAGO IGLESIAS ESQ. URUGUAY","HATO REY","PR",917
"165",16052469,"centro de estudio y tecnologia de manuel . perez","library","CALLE RIAZA #536 URB.","RIO PIEDRAS","PR",925
"166",16052470,"centro de estudio y tecnologia de la perla","library","SECTOR SAN MIGUEL BAJADA MATADERO,","SAN JUAN","PR",901
"167",16052471,"centro de estudio y tecnologia de cupey alto","library","CARR 176 KM9.4","CUPEY","PR",928
"168",16052472,"centro de estudio y tecnologia de buen consejo","library","CALLE COLON 150 ESQ. VALLEJO","RIO PIEDRAS","PR",925
"169",16052506,"centro de estudio y tecnologia de puerta de tierra","library","CALLE PELAYO 1101 ESQ. SAN AGUSTIN EDIF.U.T.M.","SAN JUAN","PR",936
"170",16052507,"centro de studio y tecnologia de barrio obrero","library","AVE. BORINQUEN 2030 BO. OBRERO","SAN JUAN","PR",936
"171",16052508,"centro de educacion digital prt","library","CALLE DE DIEGO 109","RIO PIEDRAS","PR",925
"172",16052509,"biblioteca electronica estudia conmigo","library","ROOSEVELT PREDIO ESTADIO HIRAM BITHORN","SAN JUAN","PR",936
"173",16052510,"centro de estudio y tecnologia aldea del bien(jurutungo)","library","CALLE PATILLAS ESQUINA CALLE ESPANA","SAN JUAN","PR",936
"174",16052512,"centro de estudio y tecnologi el comandante","library","CALLE ANTONIO LUCIANO URB. EL COMANDANTE","SAN JUAN","PR",936
"175",16052513,"biblioteca electronica sector israel","library","CALLE DUARTE AL LADO COOP HERMANOS UNIDOS 229","SAN JUAN","PR",936
"176",16052517,"centro de estudio y tecnologia vista alegre","library","CALLE AMARILLO ESQ. GEORGINA, SECTOR VISTA ALEGRE","SAN JUAN","PR",936
"177",16052518,"centro de estudio y tecnologia villa palmeras","library","CALLE GILBERTO MONROIG ESQ. PALACIOS, VI.PALMERAS","SAN JUAN","PR",936
"178",16052522,"biblioteca abelardo diaz alfaro","library","CALLE SAN AGUSTIN 270 PUERTA DE TIERRA","SAN JUAN","PR",936
"179",16052551,"centro comunal macun","library","CALLE FLAMBOYAN","TOA BAJA","PR",949
"180",16052553,"centro comunal san jose","library","CALLE #3","TOA BAJA","PR",951
"181",16052554,"centro comunal sector 26","library","CARR. 867 Km9 BO SABANA SECA","TOA BAJA","PR",951
"182",16052555,"centro comunal dominga garcia","library","CALLE LUIS MUNOZ RIVERA","TOA BAJA","PR",951
"183",16052557,"centro comunal villa marisol","library","CALLE LAS FLORES, ESQUINA AZUCENA","TOA BAJA","PR",949
"184",16052638,"casa cultural trastalleres","library","958 CALLE VERDEJO, ESQ. CALLE LA ROSA","SANTURCE","PR",907
"185",16052943,"centro mvil de educacion tecnologico","library","P. O. BOX 2106","OROCOVIS","PR",720
"186",16052944,"archivos historicos","library","P. O. BOX 2106","OROCOVIS","PR",720
"187",16052945,"centro cibernetico de orocovis","library","P. O. BOX 2106","OROCOVIS","PR",720
"188",16052984,"centro tecnológico de la cordillera bo. cialitos","library","CARR. 149 KM. 25.6 SECTOR PORTON","CIALES","PR",638
"189",16052985,"centro tecnológico de la cordillera bo. frontón","library","CARR. 146 KM. 14.8 SECTOR CENTRO","CIALES","PR",638
"190",16052986,"centro tecnologico de la cordillera bo. cordillera","library","CARR. 146 KM. 23.4 SECTOR EL TRES","CIALES","PR",638
"191",16052992,"centro tecnológico de la cordillera bo. cumbre","library","CARR. 614 KM. 2.4 SECTOR CENTRO","CIALES","PR",638
"192",16053731,"berks county public libraryies bookmobile childrens","library","1040 Berks Road","Leesport","PA",19533
"193",16055335,"tccl support service center","non-instructional facility (nif)","1339 N. LANSING","TULSA","OK",74106
"194",16056226,"warehouse branch","library","211 E PINHOOK ROAD","LAFAYETTE","LA",70501
"195",16056243,"hillcrest community center","library","10401 HILLCREST ROAD","KANSAS CITY","MO",64134
"196",16056244,"marlborough community center","library","8200 PASEO STREET","KANSAS CITY","MO",64131
"197",16056554,"centro de estudio y tecnologia nemesio r. canales","library","NEMESIO R. CANALES PUBLIC HOUSING","HATO REY","PR",918
"198",16056555,"centro comunal el gandul","library","803 MONSERRATE & LEALTAD","SAN JUAN","PR",936
"199",16057302,"biblioteca publica campo rico abel santos torres pastor","library","CARR. ESTATAL #185, ESQ CALLE 10 BO. CAMPO RICO","CANOVANAS","PR",729
"200",16057340,"biblioteca electronica aguas blancas","library","CARR 372 BARRIO AGUAS BLANCAS","YAUCO","PR",698
"201",16057341,"biblioteca electronica de algarrobo","library","P. O. BOX 01","YAUCO","PR",698
"202",16057346,"biblioteca electronica de almacigo alto street","library","CARR 371 BARRIO ALMACIGO ALTO","YAUCO","PR",698
"203",16057348,"biblioteca electronica de almacigo bajo street","library","CARR 371 BARRIO ALMACIGO","YAUCO","PR",698
"204",16057350,"biblioteca electronica espino","library","BARRIO ESPINO, CARR. 109 KM. 5.8","ANASCO","PR",610
"205",16057352,"biblioteca electronica de barinas","library","CARR 335 BARRIO BARINAS","BARRIO BARINAS","PR",698
"206",16057353,"biblioteca electronica concovada","library","BARRIO CONCOVADA, CARR. 420 KM.3.7","ANASCO","PR",610
"207",16057360,"biblioteca electronica de caimito","library","CARR 372 BARRIO CAIMITO","YAUCO","PR",698
"208",16057362,"biblioteca electronica de collores","library","CARR 371 BARRIO COLLORES","YAUCO","PR",698
"209",16057363,"biblioteca electronica de diego hernandez","library","CARR 128 BARRIO DIEGO HERNANDEZ","YAUCO","PR",698
"210",16057371,"biblioteca electronica de palmoas","library","CARR 127 BARRIO PALOMAS","YAUCO","PR",698
"211",16057381,"biblioteca electronica de quebradas","library","CARR 375 BARRIO QUEBRADAS","YAUCO","PR",698
"212",16057383,"biblioteca electronica de ranchera","library","CARR 371 BARRIO RANCHERA","YAUCO","PR",698
"213",16057384,"biblioteca electronica de rio prieto","library","CARR 374 BARRIO RIO PRIETO","YAUCO","PR",698
"214",16057390,"biblioteca electronica blondet","library","CARR. 3 BARRIO BLONDET","GUAYAMA","PR",785
"215",16057392,"biblioteca electronica guamani","library","CARR. 179 BARRIO GUAMANI","GUAYAMA","PR",784
"216",16057393,"biblioteca electronica puente de jobos","library","CARR. 707 BARRIO","PUENTE DE JOBOS","PR",785
"217",16057394,"biblioteca electronica corazon","library","CARR. 748 BARRIO","CORAZON","PR",784
"218",16057575,"library annex","non-instructional facility (nif)","611 NORTH CHESTNUT STREET","BARNESVILLE","OH",43713
"219",16057682,"centro tecnologico dominguito","library","635 BARRIO DOMINGUITO","ARECIBO","PR",616
"220",16057687,"centro tecnologico sabana hoyos","library","639 BARRIO SABANA HOYOS","ARECIBO","PR",688
"221",16057857,"biblioteca mameyes municipio de jayuya","library","CARR. #141 SECTOR VISTA ALEGRE K.M 13","JAYUYA","PR",664
"222",16057859,"biblioteca saliente municipio de jayuya","library","BARRIO SALIENTE RAMAL 539 CARR. 144 K.M 1.2","JAYUYA","PR",664
"223",16057869,"biblioteca coyore municipio de jayuya","library","BARRIO COYORE JAYUYA ABAJO CARR. 140 K.M 8.0","JAYUYA","PR",664
"224",16057985,"biblioteca satelite de monte bello","library","CARR. 642 K.M 6.0 SECTOR MONTE BELLLO BO.","MANATI","PR",674
"225",16058211,"biblioteca electronica de rubias","library","CARR 105 BARRIOS RUBIAS","YAUCO","PR",698
"226",16058221,"biblioteca electronica de sierra alta","library","CA44 378 BARRIO SIERRA ALTA","YAUCO","PR",698
"227",16058222,"biblioteca electronica susua alta","library","CARR 368 SUSUA ALTA","YAUCO","PR",698
"228",16058223,"biblioteca electronica susua baja","library","CARR 121 BARRIO SUSUA BAJA","YAUCO","PR",698
"229",16058269,"biblioteca electronic ade frailes","library","CARR 371 BARRIO FRAILES","YAUCO","PR",698
"230",16058270,"biblioteca electronica de jacana","library","CARR 127 BARRIO JACANA","YAUCO","PR",698
"231",16058271,"biblioteca electronica de naranjo","library","CARR 374 BARRIO NARANJO","YAUCO","PR",698
"232",16058272,"biblioteca electronica de vegas","library","P. O. BOX 01","YAUCO","PR",698
"233",16058462,"bookmobile","library","444 MAHONING AVENUE NW","WARREN","OH",44483
"234",16058515,"biblioteca satelite de valenciano","library","CARR 183 BARRIO VALENCIANO ABAJO","JUNCUS","PR",777
"235",16058516,"biblioteca satelite de ceiba sur","library","CARR 189 BARRIO CEIBA SUR","JUNCAS","PR",777
"236",16058860,"biblioteca electronica corozo","library","CARR 301 KM 9.6 COMUNIDAD POLEOJEA SECTOR COROZO","CABO ROJO","PR",623
"237",16058938,"biblioteca electronica centro cibernetico","library","Carr. 312 Km 0.5 Interior, Complejo Deportivo","CABO ROJO","PR",623
"238",16059077,"biblioteca electronica archivo pajaros","library","P.O. BOX 2359, CARR 863 KM 1 BARRIO PAJAROS","TOA BAJA","PR",951
"239",16059601,"platte county resourse center","library","11724 NW PLAZA CIRCLE","KANSAS CITY","MO",64153
"240",16059701,"biblioteca electronica luis pales matos","library","CARRETERA MACHETE 744","GUAYAMA","PR",784
"241",16059710,"biblioteca electronica manuel martorell","library","FISICA: BARRIADA PASSARELL CALLE 10","COMERIO","PR",782
"242",16060370,"northwest branch library","library","RANCHO VIEJO ROAD","LAREDO","TX",78045
"243",16060394,"lorain public library technical services department","non-instructional facility (nif)","1909 NORTH RIDGE ROAD, UNIT 6","LORAIN","OH",44055
"244",16060585,"godfrey memorial library","library","134 NEWFIELD ST","MIDDLETOWN","CT",6457
"245",16061701,"centrol tecnologico aguas claras","library","CALLE ROSA #202","CEIBA","PR",735
"246",16061750,"biblioteca de la comunidad santa cruz","library","CARR. 859 KM. 2.8 INTERIOR CAMINO LAUREL, BO.","SANTA CRUZ","PR",986
"247",16062049,"biblioteca electronica parcelas falu","library","CALLE 8, #333-A SABANA LLANA","SAN JUAN","PR",936
"248",16062171,"biblioteca publica eduardo negron benitez","library","CALLE PADRES FELICIANO #3","SAN SEBASTIAN","PR",685
"249",16062859,"hunter city library","library","109 E FIRST ST PO BOX 174","HUNTER","KS",67452
"250",16063132,"biblioteca satelite olimpo","library","BO. OLIMPO CALLE 1 NUM 68 ESQUINA 2, PO BOX 360","GUAYAMA","PR",785
"251",16063135,"biblioteca satelite barrancas","library","BARRANCAS CALLE 3 #086, PO BOX 360","GUAYAMA","PR",785
"252",16063137,"biblioteca satelite comunidad mosquito","library","CARR. 3 K.M. 155, PO BOX 360","GUAYAMA","PR",785
