"","ros_entity_number","ros_entity_name","ros_entity_type","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode"
"1297",16076005,"boys and girls club las margaritas","library","Avenida Eduardo Conde Final, Res. Las Margaritas","Santurce","PR",915
"1298",16076006,"boys and girls club ramos antonini","library","Calle Ana Otero Final","Rio Piedras","PR",924
"1299",16076007,"boys and girls club of mayaguez casa matriz","library","Res. F.D. Roosevelt,","Mayaguez","PR",680
"1300",16076009,"boys and girls club of carolina","library","Calle 24, Villa Carolina","Carolina","PR",983
"1301",16076037,"boys and girls club residencial torres de sabana","library","Ave. Campo Rico, Residencial Torres De Sabana","Carolina","PR",987
"1302",16076038,"boys and girls club of arecibo","library","Carr. 651. Cruce Avenida Constitucion","Arecibo","PR",612
"1303",16076041,"boys and girls club of aguas buenas","library","Calle#1 Urb. San Antonio","Aguas Buenas","PR",703
"1304",16076043,"boys and girls club res. luis llorens torres","library","Calle Maria Isabel","Santurce","PR",918
"1305",16076044,"boys and girls club of loiza","library","Carr. 187 Mediania Alta","Loiza","PR",772
"1306",16076045,"boys and girls club of isabela","library","Ave. Juan Hernandez","Isabela","PR",662
"1307",16076046,"boys and girls club of bayamon","library","Residencial Barbosa De Bayamon","Bayamon","PR",957
"1308",16076047,"boys and girls club of vieques","library","Maria Simmons De Rivera Carr. #993 Km.2","Vieques","PR",765
"1309",16076056,"boys and girls club of san lorenzo","library","201 Avenue De Diego","San Lorenzo","PR",754
"1310",16077379,"thistle cottage","library","122  S Cherry St","Greenville","KY",42345
"1311",16080034,"centro tec. aceituna","library","Carr. 464 Km. 2.6 Interior Bo. Aceituna Moca","Moca","PR",676
"1312",16080132,"biblioteca de la comunidad de la ceramica","library","Po Box 8","Carolina","PR",982
"1313",16081115,"biblioteca luz oyola","library","Carr. 493, Km. 3.6 Bo. Corcovado","Hatillo","PR",659
"1314",16081116,"biblioteca electronica pajuil","library","Parcelas Roberto Clemente 1-Calle A. Sector Pajuil","Hatillo","PR",659
"1315",16081936,"central tecnologico amor que sana","library","14 Rosich","Ponce","PR",730
"1316",16081948,"codech","library","Carr. 2 Km. 34-8","Vega Baja","PR",693
"1317",16082098,"biblioteca electronica parcelas vazquez","library","3 Miguel Colon St Parcela Vazquez Ward","Salinas","PR",751
"1318",16082100,"biblioteca electronica las mareas","library","3 St Km.2","Salinas","PR",751
"1319",16082841,"biblioteca comunitaria escuela rafael hernandez marin","library","Bo. Jardines","Vega Baja","PR",693
"1320",16082871,"museo biblioteca  la casa del libro","library","255 Calle Del Cristo","San Juan","PR",901
"1321",16084130,"centro tecnologico zamas","library","Carr 528 Km 2.0","Jayuya","PR",644
"1322",16084988,"coushatta tribe of louisiana library","library","1940 Cc Bel Rd.","Elton","LA",70532
"1323",16124,"greenwood reading center","library","2686 Main St","Greenwood","NY",14839
"1324",17000365,"centro de estudio punta diamante","library","Calle Sor Rosa M. Rivera Perez, Gg 14 Punta Diamante","Ponce","PR",728
"1325",17001685,"bookmobile 2","library","444 Mahoning Avenue Nw","Warren","OH",44483
"1326",17002329,"biblioteca escuela de artes plásticas","library","Campos Del Morro Viejo San Juan","San Juan","PR",902
"1327",17003110,"southern tier library system","non-instructional facility (nif)","9424 Scott Road","Painted Post","NY",14870
"1328",17004600,"main branch bgc (pr)","library","Ave Barbosa #569","San Juan","PR",926
"1329",17005933,"connecticut state library (main branch)","library","231 Capitol Ave","Hartford","CT",6106
"1330",17006053,"van block state library storage facility","library","75 Van Block Avenue","Hartford","CT",6106
"1331",17007268,"centro tecnológico fortaleza de fe","library","Calle Del Parque, Esq. Parque Del Sol, Urb. Bairoa Park","Caguas","PR",726
"1332",17007703,"centro tecnológico florida","library","Carr 140 Sector La Vazquez","Florida","PR",698
"1333",17007720,"reaching across illinois library system","library","125 Tower Dr","Burr Ridge","IL",60527
"1334",17008109,"biblioteca fundacion sila m calderon (main library)","library","Urb Santa Rita, 1012 Calle Gonzalez","Rio Piedras","PR",925
"1335",17008244,"county of monterey information technology dept.","non-instructional facility (nif)","1590 Moffett St","Salinas","CA",93905
"1336",17009043,"biblioteca san agustin del coqui, inc main library","library","Carr #173 Km. 6.4 Comunidad San Agustin","Barrio Sumidero","PR",703
"1337",17009099,"biblioteca publica de aguada main branch","library","159 Calle Colon","Aguada","PR",602
"1338",17009677,"biblioteca publica yauco","library","Calle Santiago Vivaldi","Yauco","PR",968
"1339",17009761,"institución proyecto aprende conmigo","library","Calle Palmer #1","Ciales","PR",638
"1340",17009925,"biblioteca electrónica guajataca","library","Carr. #453  Interior Barrio Guajataca","Quebradilla","PR",678
"1341",17009945,"biblioteca augusto malaret - main branch","library","Calle 65","Sabana Grande","PR",637
"1342",17010159,"centro recio","library","Bo. Guardarraya Sector Recio","Patillas","PR",723
"1343",17010160,"francisco zenon gely","library","Bo. Quebrada Arriba Sector Real","Patillas","PR",723
"1344",17010239,"biblioteca electronica municipal de aguadilla","library","San Carlos Ave #11","Aguadilla","PR",603
"1345",17010393,"biblioteca comunitaria escuela jose robles otero","library","Carr. 867","Toa Baja","PR",646
"1346",17010394,"biblioteca comunitaria escuela ricardo arroyo laracuente","library","Dorado Centro","Dorado","PR",646
"1347",17010893,"mid-york library system admin building","library","1600 Lincoln Ave","Utica","NY",13502
"1348",17010970,"hoptan education center (hec) library branch","library","5503 N Park Dr","Washington Park","IL",62204
"1349",17011195,"centro de servicios a la juventud, inc - main","library","Urb. Regional Calle 3m1","Arecibo","PR",612
"1350",17011326,"biblioteca publica de area corozal","library","Calle Nueva","Corozal","PR",783
"1351",17011343,"biblioteca municipal bo. san isidro","library","374 Calle 17, San Isidro","Canovanas","PR",729
