"","FSCSKEY","FSCS_SEQ","LIBNAME","STABR","ADDRESS","POPU_LSA","POP_CATEGORY","ros_entity_number","ros_entity_name"
"10985","NM0050",3,"EAGLE NEST PUBLIC LIBRARY","NM","74 N TOMBOY DR",290,"Under5k",NA,NA
"10986","NM0051",2,"EL RITO PUBLIC LIBRARY","NM","182 PLACITAS ROAD",808,"Under5k",220851,"El Rito Public Library"
"10987","NM0052",3,"ESTANCIA PUBLIC LIBRARY","NM","600 SOUTH TENTH STREET",1655,"Under5k",185524,"Estancia Public Library"
"10988","NM0053",2,"GLENWOOD COMMUNITY LIBRARY","NM","21 MENGES LANE",143,"Under5k",NA,NA
"10989","NM0054",2,"JEMEZ SPRINGS PUBLIC LIBRARY","NM","030 JEMEZ PLAZA, HWY. 4",250,"Under5k",NA,NA
"10990","NM0055",3,"JICARILLA PUBLIC LIBRARY","NM","165 HAWKS DRIVE",3254,"Under5k",17012497,"Jicarilla Public Library"
"10991","NM0057",2,"MORIARTY COMMUNITY LIBRARY","NM","202 SOUTH BROADWAY",1910,"Under5k",NA,NA
"10992","NM0058",3,"MOUNTAINAIR PUBLIC LIBRARY","NM","109 N. ROOSEVELT",928,"Under5k",NA,NA
"10993","NM0060",2,"PUEBLO OF POJOAQUE PUBLIC LIBRARY","NM","101 B LIGHTNING LOOP",1907,"Under5k",NA,NA
"10994","NM0061",2,"RED RIVER PUBLIC LIBRARY","NM","702 E. MAIN ST.",477,"Under5k",NA,NA
"10995","NM0064",2,"SANTA CLARA PUEBLO COMMUNITY LIBRARY","NM","578 KEE ST.",1018,"Under5k",143276,"Santa Clara Pueblo Community Library"
"10996","NM0065",2,"TATUM COMMUNITY LIBRARY","NM","323 E. BROADWAY",798,"Under5k",NA,NA
"10997","NM0070",2,"ZIA ENRICHMENT LIBRARY","NM","135 CAPITOL SQUARE DRIVE",912,"Under5k",NA,NA
"10998","NM0074",2,"BLOOMFIELD PUBLIC LIBRARY","NM","333 SOUTH FIRST STREET",8112,"5to25K",NA,NA
"10999","NM0077",2,"EMBUDO VALLEY LIBRARY & COMMUNITY CENTER","NM","217A HWY 75 DIXON",926,"Under5k",NA,NA
"11000","NM0078",2,"EDGEWOOD COMMUNITY LIBRARY","NM","171B NM-344",3735,"Under5k",17011991,"Edgewood Community Library"
"11001","NM0082",2,"SANTA ANA PUEBLO COMMUNITY LIBRARY","NM","2 DOVE ROAD",754,"Under5k",NA,NA
"11002","NM0083",2,"PUEBLO DE SAN ILDEFONSO LIBRARY","NM","1B TUNYO PO",524,"Under5k",NA,NA
"11003","NM0087",2,"MAGDALENA PUBLIC LIBRARY","NM","108 N. MAIN STREET",938,"Under5k",NA,NA
"11004","NM0089",2,"JEMEZ PUEBLO COMMUNITY LIBRARY","NM","020 MISSION RD",3666,"Under5k",NA,NA
"11005","NM0090",2,"PUEBLO OF ISLETA PUBLIC LIBRARY","NM","950 MOONLIGHT DR.",4837,"Under5k",NA,NA
"11006","NM0100",1,"CAPITAN PUBLIC LIBRARY","NM","101 E. 2ND STREET",1489,"Under5k",NA,NA
"11007","NM0101",1,"IRENE S. SWEETKIND PUBLIC LIBRARY","NM","6515 HOOCHANEETSA BLVD.",569,"Under5k",NA,NA
"11008","NM0109",1,"MICHAEL NIVISON PUBLIC LIBRARY","NM","90 SWALLOW PLACE",674,"Under5k",NA,NA
"11009","NM0110",1,"PUEBLO DE ABIQUIU LIBRARY & CULTURAL CENTER","NM","COUNTY RD. #187 BUILDING #29",231,"Under5k",208164,"Pueblo De Abiquiu Library & Cultural Center"
"11010","NM0112",1,"ACOMA LEARNING CENTER","NM","17A KNOTS LANDING ROAD",3011,"Under5k",209609,"The Acoma Learning Center"
"11011","NM0113",1,"PUEBLO OF SANDIA LEARNING RESOURCE CENTER","NM","236 SANDIA DAY SCHOOL ROAD",872,"Under5k",NA,NA
"11012","NM0114",1,"TRUCHAS COMMUNITY LIBRARY","NM","60 COUNTY ROAD 75",560,"Under5k",NA,NA
"11013","NM0115",1,"PUEBLO OF SAN FELIPE COMMUNITY LIBRARY","NM","24 BLACK MESA RD",3563,"Under5k",NA,NA
"11014","NM0116",1,"SUNLAND PARK COMMUNITY LIBRARY","NM","984 MCNUTT RD",14106,"5to25K",NA,NA
"11015","NM0119",1,"MESCALERO COMMUNITY LIBRARY","NM","148 COTTONWOOD DRIVE",3613,"Under5k",NA,NA
"11016","NM0121",1,"RESERVE PUBLIC LIBRARY","NM","15 JAKE SCOTT ST.",289,"Under5k",NA,NA
"11017","NM0122",1,"RIO ABAJO COMMUNITY LIBRARY","NM","28 SOUTH CALLE DE CENTRO",82,"Under5k",NA,NA
"11018","NM0123",1,"SANTO DOMINGO PUEBLO LIBRARY","NM","TESUQUE STREET",5096,"5to25K",NA,NA
"11019","NM0125",1,"VISTA GRANDE PUBLIC LIBRARY","NM","14 AVENIDA TORREON",6130,"5to25K",17025880,"Vista Grande Public Library"
"11020","NM0127",1,"GILA VALLEY LIBRARY","NM","411 HIGHWAY 211",314,"Under5k",17033348,"Gila Valley Library"
"11021","NM0128",1,"PLACITAS COMMUNITY LIBRARY","NM","453 HWY 165",4977,"Under5k",16060592,"Placitas Community Library"
"11022","NM0129",2,"TAYTSUGEH OWEENGEH LIBRARY","NM","INTERGENERATIONAL CENTER",841,"Under5k",NA,NA
"11023","NM0130",1,"TULAROSA PUBLIC LIBRARY","NM","515 FRESNO ST.",2842,"Under5k",NA,NA
"11024","NM0131",1,"VILLAGE OF CORONA PUBLIC LIBRARY","NM","481 CORONA MAIN STREET",172,"Under5k",NA,NA
"11025","NM0132",1,"TALPA COMMUNITY CENTER LIBRARY","NM","4 ARCHULETA RD",778,"Under5k",NA,NA
"11026","NM0133",1,"P`OE TSAWA COMMUNITY LIBRARY","NM","232 POPAY AVENUE",1143,"Under5k",NA,NA
