"","FSCSKEY","FSCS_SEQ","LIBNAME","STABR","ADDRESS","POPU_LSA","POP_CATEGORY","ros_entity_number","ros_entity_name"
"1","AK0001",2,"ANCHOR POINT PUBLIC LIBRARY","AK","34020 NORTH FORK ROAD",2090,"Under5k",145559,"Anchor Point Public Library"
"2","AK0002",7,"CHUGIAK-EAGLE RIVER LIBRARY","AK","12001 BUSINESS BOULEVARD #176",291845,"100Kover",17005934,"Chugiak Eagle River Branch Library"
"3","AK0002",8,"MULDOON LIBRARY","AK","1251 MULDOON ROAD, SUITE 158",291845,"100Kover",17002656,"Muldoon Branch Library"
"4","AK0002",10,"SCOTT AND WESLEY GERRISH LIBRARY","AK","250 EGLOFF DRIVE",291845,"100Kover",17005935,"Scott And Wesley Gerrish Branch Library"
"5","AK0002",11,"Z. J. LOUSSAC LIBRARY","AK","3600 DENALI STREET",291845,"100Kover",17005936,"Z. J. Loussac Library"
"6","AK0002",12,"MOUNTAIN VIEW LIBRARY","AK","120 SOUTH BRAGAW STREET",291845,"100Kover",17002654,"Mountain View Branch Library"
"7","AK0003",2,"ANDERSON COMMUNITY LIBRARY","AK","101 FIRST STREET",282,"Under5k",NA,NA
"8","AK0006",2,"KUSKOKWIM CONSORTIUM LIBRARY","AK","420 CHIEF EDDIE HOFFMAN HIGHWAY",6259,"5to25K",NA,NA
"9","AK0007",2,"BIG LAKE PUBLIC LIBRARY","AK","3140 SOUTH BIG LAKE ROAD",7688,"5to25K",NA,NA
"10","AK0008",2,"CANTWELL COMMUNITY LIBRARY","AK","1 SCHOOL ROAD",190,"Under5k",NA,NA
"11","AK0011",2,"CHINIAK PUBLIC LIBRARY","AK","43318 SPRUCE WAY",45,"Under5k",145584,"Chiniak Public Library"
"12","AK0014",2,"COLD BAY PUBLIC LIBRARY","AK","10 BARANOV ROAD",60,"Under5k",145568,"Cold Bay Public Library"
"13","AK0015",2,"COOPER LANDING COMMUNITY LIBRARY","AK","18511 BEAN CREEK ROAD",269,"Under5k",145569,"Cooper Landing Community Lib"
"14","AK0016",2,"CORDOVA PUBLIC LIBRARY","AK","601 FIRST STREET",2343,"Under5k",NA,NA
"15","AK0017",3,"CRAIG PUBLIC LIBRARY","AK","504 THIRD STREET",1074,"Under5k",NA,NA
"16","AK0018",2,"IPNATCHIAQ LIBRARY","AK","59 MAIN STREET",166,"Under5k",NA,NA
"17","AK0019",2,"DELTA COMMUNITY LIBRARY","AK","2291 DEBORAH STREET",1157,"Under5k",NA,NA
"18","AK0020",2,"DILLINGHAM PUBLIC LIBRARY","AK","306 D STREET WEST",2327,"Under5k",145575,"Dillingham Public Library"
"19","AK0021",2,"EAGLE PUBLIC LIBRARY","AK","4TH & AMUNDSEN",75,"Under5k",145635,"Eagle Public Library"
"20","AK0023",2,"BOOKMOBILE","AK","1215 COWLES STREET",95898,"50to100K",225608,"Noel Wien Public Library Main Branch"
"21","AK0023",3,"NORTH POLE BRANCH LIBRARY","AK","656 NORTH POLE HIGH SCHOOL BLVD.",95898,"50to100K",117486,"North Pole Branch Library"
"22","AK0023",4,"FAIRBANKS NORTH STAR PUBLIC LIBRARY","AK","1215 COWLES STREET",95898,"50to100K",NA,NA
"23","AK0025",2,"CHARLES EVANS COMMUNITY/SCHOOL LIBRARY","AK","299 ANTOSKI ROAD",445,"Under5k",NA,NA
"24","AK0027",2,"COPPER VALLEY COMMUNITY LIBRARY","AK","MILE 186 GLENN HIGHWAY",449,"Under5k",145577,"Copper Valley Community Lib"
"25","AK0028",2,"GUSTAVUS PUBLIC LIBRARY","AK","14 GUSTAVUS ROAD",537,"Under5k",NA,NA
"26","AK0029",2,"HAINES BOROUGH PUBLIC LIBRARY","AK","111 THIRD AVENUE SOUTH",2516,"Under5k",145670,"Haines Borough Public Library"
"27","AK0030",2,"TRI-VALLEY COMMUNITY LIBRARY","AK","400 SUNTRANA STREET",1093,"Under5k",145643,"Tri-Valleycommunity Library"
"28","AK0031",2,"HOLLIS PUBLIC LIBRARY","AK","NO. 1 HOLLIS CHILKAT ROAD",132,"Under5k",145697,"Hollis Public Library"
"29","AK0032",2,"HOMER PUBLIC LIBRARY","AK","500 HAZEL AVENUE",5478,"5to25K",145578,"Homer Public Library"
"30","AK0033",2,"HOPE COMMUNITY LIBRARY","AK","18487 A AVENUE",215,"Under5k",NA,NA
"31","AK0035",2,"DOUGLAS PUBLIC LIBRARY","AK","1016 THIRD STREET",31986,"25to50K",117582,"Douglas Public Library"
"32","AK0035",3,"MENDENHALL VALLEY PUBLIC LIBRARY","AK","3025 DIMOND PARK LOOP",31986,"25to50K",117583,"Mendenhall Valley Pub Library"
"33","AK0035",4,"DOWNTOWN PUBLIC LIBRARY","AK","292 MARINE WAY",31986,"25to50K",17007230,"Juneau Public Library"
"34","AK0037",2,"KASILOF PUBLIC LIBRARY","AK","58231 STERLING HIGHWAY",542,"Under5k",NA,NA
"35","AK0038",2,"KENAI COMMUNITY LIBRARY","AK","163 MAIN STREET LOOP",7056,"5to25K",NA,NA
"36","AK0039",2,"KETCHIKAN PUBLIC LIBRARY","AK","1110 COPPER RIDGE LANE",13739,"5to25K",145687,"Ketchikan Public Library"
"37","AK0040",2,"KODIAK PUBLIC LIBRARY","AK","612 EGAN WAY",12637,"5to25K",145586,"Kodiak Public Library"
"38","AK0041",2,"CHUKCHI CONSORTIUM LIBRARY","AK","604 THIRD STREET",3112,"Under5k",NA,NA
"39","AK0044",2,"MCGRATH COMMUNITY LIBRARY","AK","249 F STREET",289,"Under5k",145591,"Mcgrath Community Library"
"40","AK0046",2,"CENTENNIAL LIBRARY","AK","4TH & MILTON STREET",1359,"Under5k",NA,NA
"41","AK0047",3,"SOUTH NAKNEK PUBLIC LIBRARY","AK","1 SCHOOL ROAD",869,"Under5k",NA,NA
"42","AK0047",4,"MARTIN MONSEN REGIONAL LIBRARY","AK","101 MAIN STREET",869,"Under5k",NA,NA
"43","AK0048",2,"NENANA PUBLIC LIBRARY","AK","106 EAST 2ND STREET",362,"Under5k",145650,"Nenana Public Library"
"44","AK0051",2,"NINILCHIK COMMUNITY LIBRARY","AK","15850 STERLING HIGHWAY",821,"Under5k",145595,"Ninilchik Community Library"
"45","AK0052",2,"KEGOAYAH KOZGA LIBRARY","AK","100 WEST 7TH AVENUE",3690,"Under5k",145652,"Kegoayah Kozga Public Library"
"46","AK0055",2,"PALMER PUBLIC LIBRARY","AK","655 SOUTH VALLEY WAY",27004,"25to50K",NA,NA
"47","AK0056",2,"PELICAN PUBLIC LIBRARY","AK","166 SALMON WAY",69,"Under5k",NA,NA
"48","AK0057",2,"PETERSBURG PUBLIC LIBRARY","AK","14 SOUTH SECOND STREET",3226,"Under5k",145678,"Petersburg Public Library"
"49","AK0058",2,"JESSIE WAKEFIELD MEMORIAL LIBRARY","AK","207 SPRUCE DRIVE",177,"Under5k",NA,NA
"50","AK0061",2,"ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY","AK","930 TOLSTOI BOULEVARD",385,"Under5k",NA,NA
"51","AK0064",2,"SELDOVIA PUBLIC LIBRARY","AK","260 SELDOVIA STREET",226,"Under5k",145608,"Seldovia Public Library"
"52","AK0065",2,"SEWARD COMMUNITY LIBRARY & MUSEUM","AK","239 6TH AVENUE",2545,"Under5k",145609,"Seward Community Library & Museum"
"53","AK0067",2,"SITKA PUBLIC LIBRARY","AK","320 HARBOR DRIVE",8532,"5to25K",NA,NA
"54","AK0068",2,"SKAGWAY PUBLIC LIBRARY","AK","769 STATE STREET",1045,"Under5k",NA,NA
"55","AK0069",2,"JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY","AK","235 NORTH BINKLEY ST.",4233,"Under5k",145610,"Soldotna Public Library"
"56","AK0070",2,"SUTTON PUBLIC LIBRARY","AK","11301 NORTH CHICKALOON WAY",3266,"Under5k",NA,NA
"57","AK0071",1,"TAKOTNA COMMUNITY/SCHOOL LIBRARY","AK","RIVERSIDE DRIVE",80,"Under5k",NA,NA
"58","AK0072",2,"TALKEETNA PUBLIC LIBRARY","AK","24645 SOUTH TALKEETNA SPUR ROAD",22205,"5to25K",NA,NA
"59","AK0073",2,"TANANA COMMUNITY/SCHOOL LIBRARY","AK","89 FRONT STREET",216,"Under5k",NA,NA
"60","AK0074",2,"DERMOTT O`TOOLE MEMORIAL LIBRARY","AK","707 WEST TENAKEE AVENUE",140,"Under5k",145683,"The Dermott O'Toole Library"
"61","AK0075",2,"TOK COMMUNITY LIBRARY","AK","MILE 1314 ALASKA HIGHWAY",1213,"Under5k",145660,"Tok Community Library"
"62","AK0077",2,"VALDEZ CONSORTIUM LIBRARY","AK","212 FAIRBANKS DRIVE",3876,"Under5k",NA,NA
"63","AK0078",2,"WASILLA PUBLIC LIBRARY","AK","500 N CRUSEY STREET",38953,"25to50K",NA,NA
"64","AK0080",2,"WILLOW PUBLIC LIBRARY","AK","23557 WEST WILLOW COMMUNITY CENTER",5434,"5to25K",NA,NA
"65","AK0081",2,"IRENE INGLE PUBLIC LIBRARY","AK","124 SECOND STREET",2400,"Under5k",145695,"Irene Ingle Public Library"
"66","AK0085",4,"FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY","AK","MILE 5 EDGERTON HIGHWAY",305,"Under5k",145570,"Kenny Lake Public Library"
"67","AK0094",3,"ALAK COMMUNITY/SCHOOL LIBRARY","AK","567 MAIN STREET",9886,"5to25K",NA,NA
"68","AK0094",4,"TIKIGAK SCHOOL/COMMUNITY LIBRARY","AK","1837 TIKIGAQ AVENUE",9886,"5to25K",NA,NA
"69","AK0094",5,"NUNAMIUT SCHOOL/COMMUNITY LIBRARY","AK","114 ILLINOIS AVENUE",9886,"5to25K",NA,NA
"70","AK0094",6,"MEADE RIVER SCHOOL/COMMUNITY LIBRARY","AK","4001 KIPPI STREET",9886,"5to25K",NA,NA
"71","AK0094",7,"HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY","AK","2001 BARTER AVENUE",9886,"5to25K",NA,NA
"72","AK0094",8,"NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY","AK","3310 3RD AVENUE",9886,"5to25K",NA,NA
"73","AK0094",9,"KALI COMMUNITY/SCHOOL LIBRARY","AK","1029 QASIGIALIK STREET",9886,"5to25K",NA,NA
"74","AK0094",10,"TUZZY CONSORTIUM LIBRARY","AK","5421 NORTH STAR STREET",9886,"5to25K",157409,"Tuzzy Library"
"75","AK0099",2,"MOOSE PASS PUBLIC LIBRARY","AK","38100 DEPOT ROAD",233,"Under5k",201134,"Moose Pass Public Library"
"76","AK0100",1,"TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY","AK","9127 MAIN STREET",87,"Under5k",NA,NA
"77","AK0101",2,"SAND POINT COMMUNITY/SCHOOL LIBRARY","AK","123 RED COVE ROAD",897,"Under5k",NA,NA
"78","AK0102",2,"EGEGIK VILLAGE LIBRARY","AK","289 AIRPORT ROAD",85,"Under5k",NA,NA
"79","AK0103",2,"TRAPPER CREEK PUBLIC LIBRARY","AK","8901 EAST DEVONSHIRE DRIVE",1888,"Under5k",NA,NA
"80","AK0104",2,"HOLY CROSS COMMUNITY/SCHOOL LIBRARY","AK","210 MAIN STREET",158,"Under5k",NA,NA
"81","AK0113",2,"OUZINKIE TRIBAL MEDIA CENTER","AK","216 THIRD STREET",142,"Under5k",NA,NA
"82","AK0115",2,"UNALASKA PUBLIC LIBRARY","AK","64 ELEANOR DRIVE",4592,"Under5k",147877,"Unalaska Public Library"
"83","AK0116",1,"ANIAK PUBLIC LIBRARY","AK","270 RIVERFRONT DRIVE",477,"Under5k",NA,NA
"84","AK0117",1,"HYDER PUBLIC LIBRARY","AK","50 MAIN STREET",78,"Under5k",145691,"Hyder Public Library"
"85","AK0120",1,"INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY","AK","101 PINE STREET",91,"Under5k",NA,NA
"86","AK0121",1,"BLACKWELL COMMUNITY/SCHOOL LIBRARY","AK","100 WHITE SPRUCE TRAIL",77,"Under5k",NA,NA
"87","AK0122",1,"DAVID LOUIS COMMUNITY/SCHOOL LIBRARY","AK","DAVID LOUIS SCHOOL BUILDING",190,"Under5k",NA,NA
"88","AK0124",1,"LAKE MINCHUMINA COMMUNITY LIBRARY","AK","123 FRONT STREET",9,"Under5k",NA,NA
"89","AK0126",1,"IGIUGIG TRIBAL LIBRARY","AK","1 AIRPORT WAY",56,"Under5k",NA,NA
"90","AK0127",1,"COFFMAN COVE COMMUNITY LIBRARY","AK","108 NW DENALI ALLEY",174,"Under5k",NA,NA
"91","AK0130",1,"THORNE BAY PUBLIC LIBRARY","AK","120 FREEMAN DRIVE",562,"Under5k",16062489,"Thorne Bay Public Library"
"92","AK0134",1,"WHALE PASS COMMUNITY LIBRARY","AK","BEACH ROAD LOT 3 BLOCK 14",57,"Under5k",16024047,"Whale Pass Public Library"
"93","AK0137",1,"KLUKWAN COMMUNITY/SCHOOL LIBRARY","AK","315 MISSION STREET",95,"Under5k",NA,NA
"94","AK0139",1,"SAMUEL B. FOSS LIBRARY","AK","1 WATERFRONT WAY",36,"Under5k",16082727,"Samuel B. Foss Library"
"95","AK0140",1,"EDNA BAY COMMUNITY LIBRARY","AK","100 SCHOOL HOUSE ROAD",47,"Under5k",17016044,"Edna Bay Community Library"
"96","AL0001",3,"CARL ELLIOTT REGIONAL LIBRARY SYSTEM","AL","98 18TH STREET EAST",64273,"50to100K",NA,NA
"97","AL0002",2,"ARLEY PUBLIC LIBRARY","AL","6788 COUNTY ROAD 41",346,"Under5k",NA,NA
"98","AL0005",2,"DOUBLE SPRINGS PUBLIC LIBRARY","AL","637 BLAKE DRIVE",1030,"Under5k",NA,NA
"99","AL0006",2,"HALEYVILLE PUBLIC LIBRARY","AL","913 20TH STREET",3952,"Under5k",NA,NA
"100","AL0007",2,"JASPER PUBLIC LIBRARY","AL","98 EAST 18TH STREET",13500,"5to25K",NA,NA
"101","AL0009",2,"SUMITON PUBLIC LIBRARY","AL","416 STATE STREET",2354,"Under5k",NA,NA
"102","AL0010",2,"CHEAHA REGIONAL LIBRARY","AL","935 COLEMAN STREET",99363,"50to100K",NA,NA
"103","AL0010",6,"CHEAHA REGIONAL BOOKMOBILE","AL","935 COLEMAN STREET",99363,"50to100K",NA,NA
"104","AL0011",2,"ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY","AL","736 COLLEGE STREET",5933,"5to25K",NA,NA
"105","AL0012",2,"ASHLAND CITY PUBLIC LIBRARY","AL","11 2ND AVENUE NORTH",1914,"Under5k",NA,NA
"106","AL0013",2,"SYLACUGA - B. B. COMER MEMORIAL LIBRARY","AL","314 NORTH BROADWAY AVENUE",12186,"5to25K",NA,NA
"107","AL0014",2,"CHEROKEE COUNTY PUBLIC LIBRARY","AL","310 MARY STREET",3514,"Under5k",NA,NA
"108","AL0015",2,"CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY","AL","124 NINTH AVENUE SW",4880,"Under5k",NA,NA
"109","AL0016",2,"LINCOLN PUBLIC LIBRARY","AL","47475 US HWY 78",6704,"5to25K",NA,NA
"110","AL0017",2,"LINEVILLE PUBLIC LIBRARY","AL","60119 HIGHWAY 49",2265,"Under5k",NA,NA
"111","AL0018",2,"HEFLIN - LUCILE MORGAN PUBLIC LIBRARY","AL","541 ROSS STREET",3434,"Under5k",NA,NA
"112","AL0019",2,"OXFORD PUBLIC LIBRARY","AL","110 EAST 6TH STREET",21161,"5to25K",NA,NA
"113","AL0020",2,"TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY","AL","202 SOUTH STREET EAST",15291,"5to25K",NA,NA
"114","AL0022",2,"ABBEVILLE MEMORIAL LIBRARY","AL","301 KIRKLAND STREET",7529,"5to25K",NA,NA
"115","AL0024",2,"HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY","AL","17 PARK STREET",9680,"5to25K",NA,NA
"116","AL0025",2,"BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY","AL","164 SOUTH MAIN STREET",6030,"5to25K",NA,NA
"117","AL0026",2,"OZARK - DALE COUNTY PUBLIC LIBRARY","AL","416 JAMES STREET",36837,"25to50K",NA,NA
"118","AL0029",2,"CLIO - ELTON B. STEPHENS LIBRARY","AL","17 SCHOOL STREET",3370,"Under5k",NA,NA
"119","AL0030",2,"LOUISVILLE PUBLIC LIBRARY","AL","1951 MAIN STREET",2561,"Under5k",NA,NA
"120","AL0031",2,"MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY","AL","1318 HINTON WATERS AVENUE",2350,"Under5k",NA,NA
"121","AL0032",2,"NEWTON PUBLIC LIBRARY","AL","209 OATES DRIVE",2081,"Under5k",NA,NA
"122","AL0033",2,"CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY","AL","45 NORTH MIDWAY STREET",4955,"Under5k",NA,NA
"123","AL0034",2,"TROY PUBLIC LIBRARY","AL","500 EAST WALNUT STREET",27308,"25to50K",NA,NA
"124","AL0035",2,"UNION SPRINGS PUBLIC LIBRARY","AL","103 NORTH PRAIRIE STREET",10138,"5to25K",NA,NA
"125","AL0037",2,"ANDALUSIA PUBLIC LIBRARY","AL","212 SOUTH THREE NOTCH STREET",17859,"5to25K",NA,NA
"126","AL0038",2,"BRANTLEY PUBLIC LIBRARY","AL","10 MLK DRIVE",3458,"Under5k",NA,NA
"127","AL0039",2,"ELBA PUBLIC LIBRARY","AL","406 SIMMONS STREET",9776,"5to25K",NA,NA
"128","AL0040",2,"GENEVA - EMMA KNOX KENAN LIBRARY","AL","312 SOUTH COMMERCE STREET",8237,"5to25K",NA,NA
"129","AL0041",2,"ENTERPRISE PUBLIC LIBRARY","AL","101 EAST GRUBBS STREET",42133,"25to50K",NA,NA
"130","AL0041",3,"ENTERPRISE PUBLIC LIBRARY BOOKMOBILE","AL","101 EAST GRUBBS STREET",42133,"25to50K",NA,NA
"131","AL0042",2,"FLORALA PUBLIC LIBRARY","AL","1214 FOURTH STREET",6290,"5to25K",NA,NA
"132","AL0043",2,"HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY","AL","101 EAST FULTON STREET",6491,"5to25K",NA,NA
"133","AL0044",2,"LUVERNE PUBLIC LIBRARY","AL","148 EAST THIRD STREET",10366,"5to25K",NA,NA
"134","AL0045",2,"OPP PUBLIC LIBRARY","AL","1604 NORTH MAIN STREET",12837,"5to25K",NA,NA
"135","AL0046",2,"SAMSON PUBLIC LIBRARY","AL","200 NORTH JOHNSON STREET",5775,"5to25K",NA,NA
"136","AL0047",2,"SLOCOMB PUBLIC LIBRARY","AL","134 SOUTH DALTON AVENUE",5811,"5to25K",NA,NA
"137","AL0048",2,"HORSESHOE BEND REGIONAL LIBRARY","AL","207 NORTH WEST STREET",152087,"100Kover",NA,NA
"138","AL0048",8,"HORSESHOE BEND REGIONAL BOOKMOBILE","AL","207 NORTH WEST STREET",152087,"100Kover",NA,NA
"139","AL0049",2,"ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY","AL","318 CHURCH STREET",14467,"5to25K",NA,NA
"140","AL0049",3,"MAMIE`S PLACE","AL","284 CHURCH STREET",14467,"5to25K",NA,NA
"141","AL0050",2,"DADEVILLE PUBLIC LIBRARY","AL","205 NORTH WEST STREET",3079,"Under5k",NA,NA
"142","AL0051",2,"GOODWATER PUBLIC LIBRARY","AL","62 COOSA COUNTY ROAD 66",1323,"Under5k",NA,NA
"143","AL0052",2,"AUBURN PUBLIC LIBRARY","AL","749 EAST THACH AVENUE",65738,"50to100K",NA,NA
"144","AL0053",2,"OPELIKA - LEWIS COOPER JR. MEMORIAL LIBRARY","AL","200 SOUTH 6TH STREET",30555,"25to50K",NA,NA
"145","AL0054",2,"MILLBROOK PUBLIC LIBRARY","AL","3650 GRANDVIEW ROAD",15463,"5to25K",NA,NA
"146","AL0055",2,"ROCKFORD PUBLIC LIBRARY","AL","9688 US HWY 231",446,"Under5k",NA,NA
"147","AL0056",2,"TALLASSEE COMMUNITY PUBLIC LIBRARY","AL","99 FREEMAN AVENUE",4581,"Under5k",NA,NA
"148","AL0057",2,"WETUMPKA PUBLIC LIBRARY","AL","212 SOUTH MAIN STREET",8278,"5to25K",NA,NA
"149","AL0059",2,"FLORENCE - LAUDERDALE PUBLIC LIBRARY","AL","350 NORTH WOOD AVENUE",89490,"50to100K",NA,NA
"150","AL0060",2,"TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY","AL","511 NORTH MAIN STREET",12704,"5to25K",NA,NA
"151","AL0061",2,"LEIGHTON PUBLIC LIBRARY","AL","8740 MAIN STREET",5006,"5to25K",NA,NA
"152","AL0062",2,"MUSCLE SHOALS PUBLIC LIBRARY","AL","1918 EAST AVALON AVENUE",18560,"5to25K",NA,NA
"153","AL0063",2,"ROGERSVILLE PUBLIC LIBRARY","AL","74 BANK STREET",1231,"Under5k",NA,NA
"154","AL0064",2,"SHEFFIELD PUBLIC LIBRARY","AL","316 NORTH MONTGOMERY AVENUE",13191,"5to25K",NA,NA
"155","AL0065",2,"NORTHWEST REGIONAL LIBRARY","AL","185 ASHWOOD DRIVE",34512,"25to50K",NA,NA
"156","AL0066",2,"HAMILTON - CLYDE NIX PUBLIC LIBRARY","AL","350 BEXAR AVENUE WEST",6584,"5to25K",NA,NA
"157","AL0067",2,"KENNEDY PUBLIC LIBRARY","AL","17885 HIGHWAY 96",425,"Under5k",NA,NA
"158","AL0068",2,"GUIN - MCHS COMMUNITY LIBRARY","AL","8115 U.S. HIGHWAY 43",2265,"Under5k",NA,NA
"159","AL0069",2,"MILLPORT PUBLIC LIBRARY","AL","920 BLACK STREET",983,"Under5k",NA,NA
"160","AL0070",2,"RUSSELLVILLE PUBLIC LIBRARY","AL","110 EAST LAWRENCE STREET",18975,"5to25K",NA,NA
"161","AL0071",2,"SULLIGENT PUBLIC LIBRARY","AL","514 ELM STREET",1831,"Under5k",NA,NA
"162","AL0072",2,"VERNON - MARY WALLACE COBB MEMORIAL LIBRARY","AL","110 FIRST AVENUE WEST",1855,"Under5k",NA,NA
"163","AL0073",2,"RED BAY - WEATHERFORD PUBLIC LIBRARY","AL","307 4TH AVENUE SOUTH",3063,"Under5k",NA,NA
"164","AL0074",2,"WINFIELD PUBLIC LIBRARY","AL","185 ASHWOOD DRIVE",4477,"Under5k",NA,NA
"165","AL0076",2,"ATHENS - LIMESTONE PUBLIC LIBRARY","AL","603 JEFFERSON STREET",96174,"50to100K",NA,NA
"166","AL0077",2,"DECATUR PUBLIC LIBRARY","AL","504 CHERRY STREET NE",87455,"50to100K",NA,NA
"167","AL0078",2,"HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE","AL","152 SPARKMAN STREET NW",22833,"5to25K",NA,NA
"168","AL0079",2,"LAWRENCE COUNTY PUBLIC LIBRARY","AL","401 COLLEGE STREET",30712,"25to50K",NA,NA
"169","AL0080",2,"BALDWIN COUNTY LIBRARY COOPERATIVE","AL","22251 PALMER STREET",99165,"50to100K",NA,NA
"170","AL0080",4,"BALDWIN COUNTY LIBRARY COOPERATIVE - BOOKMOBILE","AL","22251 PALMER STREET",99165,"50to100K",NA,NA
"171","AL0081",2,"DAPHNE PUBLIC LIBRARY","AL","2607 U.S. HIGHWAY 98",26506,"25to50K",NA,NA
"172","AL0082",2,"FAIRHOPE PUBLIC LIBRARY","AL","501 FAIRHOPE AVENUE",22085,"5to25K",NA,NA
"173","AL0083",2,"FOLEY PUBLIC LIBRARY","AL","319 EAST LAUREL AVENUE",18928,"5to25K",NA,NA
"174","AL0084",2,"BAY MINETTE PUBLIC LIBRARY","AL","205 WEST SECOND STREET",9291,"5to25K",NA,NA
"175","AL0085",2,"LOXLEY PUBLIC LIBRARY","AL","1001 EAST LOXLEY AVENUE",2546,"Under5k",NA,NA
"176","AL0086",2,"OSCAR JOHNSON MEMORIAL LIBRARY","AL","21967 SIXTH STREET",997,"Under5k",NA,NA
"177","AL0087",2,"ROBERTSDALE PUBLIC LIBRARY","AL","18301 PENNSYLVANIA STREET",6838,"5to25K",NA,NA
"178","AL0088",2,"GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY","AL","221 WEST 19TH AVENUE",12517,"5to25K",NA,NA
"179","AL0090",2,"ADAMSVILLE PUBLIC LIBRARY","AL","4825 MAIN STREET",4325,"Under5k",NA,NA
"180","AL0091",2,"BESSEMER PUBLIC LIBRARY","AL","400 19TH STREET N",26538,"25to50K",NA,NA
"181","AL0092",2,"MOUNTAIN BROOK - EMMET O`NEAL LIBRARY","AL","50 OAK STREET",20306,"5to25K",NA,NA
"182","AL0093",2,"FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY","AL","4615 GARY AVENUE",10622,"5to25K",NA,NA
"183","AL0094",2,"FULTONDALE PUBLIC LIBRARY","AL","500 BYRD LANE",9231,"5to25K",NA,NA
"184","AL0095",2,"GARDENDALE - MARTHA MOORE PUBLIC LIBRARY","AL","995 MT. OLIVE ROAD",14021,"5to25K",NA,NA
"185","AL0096",2,"GRAYSVILLE PUBLIC LIBRARY","AL","315 SOUTH MAIN STREET",2116,"Under5k",NA,NA
"186","AL0097",2,"HOMEWOOD PUBLIC LIBRARY","AL","1721 OXMOOR ROAD",25397,"25to50K",NA,NA
"187","AL0098",2,"HOOVER PUBLIC LIBRARY","AL","200 MUNICIPAL DRIVE",85108,"50to100K",NA,NA
"188","AL0099",2,"HUEYTOWN PUBLIC LIBRARY","AL","1372 HUEYTOWN ROAD",15380,"5to25K",NA,NA
"189","AL0100",2,"IRONDALE PUBLIC LIBRARY","AL","105 20TH STREET SOUTH",12555,"5to25K",NA,NA
"190","AL0101",2,"LEEDS - JANE CULBRETH LIBRARY","AL","8104 PARKWAY DRIVE",12053,"5to25K",NA,NA
"191","AL0102",2,"MIDFIELD PUBLIC LIBRARY","AL","400 BRELAND DRIVE",5067,"5to25K",NA,NA
"192","AL0103",2,"PLEASANT GROVE PUBLIC LIBRARY","AL","501 PARK ROAD",10101,"5to25K",NA,NA
"193","AL0104",2,"TARRANT PUBLIC LIBRARY","AL","1143 FORD AVENUE",6158,"5to25K",NA,NA
"194","AL0105",2,"TRUSSVILLE PUBLIC LIBRARY","AL","201 PARKWAY DRIVE",22314,"5to25K",NA,NA
"195","AL0106",2,"VESTAVIA HILLS LIBRARY IN THE FOREST","AL","1221 MONTGOMERY HIGHWAY",34461,"25to50K",NA,NA
"196","AL0107",2,"WARRIOR PUBLIC LIBRARY","AL","101 FIRST STREET",3199,"Under5k",NA,NA
"197","AL0108",3,"BIRMINGHAM PUBLIC - AVONDALE REGIONAL LIBRARY","AL","509 40TH STREET SOUTH",209880,"100Kover",39316,"Avondale Branch Library"
"198","AL0108",4,"BIRMINGHAM PUBLIC - CENTRAL BRANCH","AL","2100 PARK PLACE",209880,"100Kover",17006558,"Birmingham Public Library"
"199","AL0108",5,"BIRMINGHAM PUBLIC - EAST ENSLEY BRANCH","AL","900 14TH STREET - ENSLEY",209880,"100Kover",39295,"East Ensley Branch Library"
"200","AL0108",6,"BIRMINGHAM PUBLIC - EAST LAKE BRANCH","AL","5 OPORTO-MADRID BLVD. SOUTH",209880,"100Kover",NA,NA
"201","AL0108",7,"BIRMINGHAM PUBLIC - EASTWOOD BRANCH","AL","4500 MONTEVALLO ROAD",209880,"100Kover",NA,NA
"202","AL0108",8,"BIRMINGHAM PUBLIC - ENSLEY BRANCH","AL","1201 25TH STREET, ENSLEY",209880,"100Kover",39299,"Ensley Branch Library"
"203","AL0108",9,"BIRMINGHAM PUBLIC - FIVE POINTS WEST BRANCH","AL","4812 AVENUE W",209880,"100Kover",39200,"Five Points West Br Library"
